path,description,paper_location,producer_script,source_data,sha256,size_bytes,public_release,notes
data/records/ablation_300_records_wide.csv,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,7010dd048974db10d1d24305c009e44d42ffeb6d3ca68cfc30c2253fb9dfda13,125149,yes,
data/records/stage2_official_expert_repeat_records.csv,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,491cd033bdd60e7bca7f438347cd948672e793a637848000f2792f591ba1fb7b,1350557,yes,
data/records/stage3_qwen_initial_execution_records.csv,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,73e22e3b6ff2001af5cbee10a1009660fb2b3683a84b23c8f0ad758a4d86a5be,646287,yes,
data/records/stage4_sr_r3_paired_records.csv,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,9183806cb15a900c7b42ee59bc8f8d0ef8faba0954fb1921776184142a8f3a1c,227501,yes,
data/sample_ids/ablation_300_stratified_ids.csv,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,7aceb188446da098349611ad6f415889ddaa0dda586898f2fbefbdac7fa8d2a9,36967,yes,
data/sample_ids/stage1_public_4500_ids.csv,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,0e0bdd99182815982a76f100defb4cc9e1bc7e349bfc22c58188810bf2dd8391,582873,yes,
data/sample_ids/stage2_execution_candidate_4000_ids.csv,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,198f662dd2f11702ab8455afb53b269e184204d9fca98a948f75ec91e9302dd6,504682,yes,
data/sample_ids/stage2_official_expert_eligible_2133_ids.csv,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,b672ad58cde6a6dc838d144dfc67633d44f0e9b22513df14f75ca4398d1c34b7,246906,yes,
data/sample_ids/stage3_initial_failures_1027_ids.csv,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,6aad1d7347e7145569b9f4e4fdd5f4cce1599a093845e75f11ae8d031fb24d33,135894,yes,
docs/ENVIRONMENT_TEMPLATE.md,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,33913d6f8fbdfa078c74ef9ddfcb89e91fe6fccd892835ae52da1a76fcf10fdd,1459,yes,
docs/REPRODUCIBILITY_NOTES.md,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,b7172278328b054b4e3fee536b182678293919a75d0f8634e459215728c24aad,1776,yes,
docs/data_dictionary.md,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,6e8a17b6e316c9e7da809087b476b07d070627f53f6ef6698424eabb9c1f7ebc,1057,yes,
docs/official_expert_and_adapter_roles.md,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,68e967f90dd28a3ea9025f64b244186a0f673f3251e9bae813eefdf936f2852b,323,yes,
docs/prompt_field_source_map.md,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,eeb229daca2183df7bd5bd9424d82a6f00a970e915ca2af55593484537f361d1,309,yes,
docs/prompt_leakage_audit.md,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,e8b6736a8baad445cf9798d77c199e12ea2af4f4fec3c427d25b2eb973273f42,526,yes,
docs/release_notes_v1_0.md,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,1c5c638475dbb0fbd8f4401d95c6fa94624955449e05e6cd4d6c9553f5a49fd9,238,yes,
docs/reproducibility_checklist.md,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,f478eca0ecfad135443f1a1c949afc9f6cb23531e2b7845703b52a1701e587f6,562,yes,
docs/runtime_versions.md,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,4b076ce9c02a46d8e02de594320453d72a061a66cf95372cfc7b203fbb7ab2dd,307,yes,
docs/status_taxonomy_and_precedence.md,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,3ca95db4dd7a0b1a332b4a8e0a7d44916c62bd5d4a83a62689b91c7e90117837,398,yes,
docs/upstream_data_constraints.md,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,85e9e4d7d8020b4849e548da1fe5035c02c5d0771ab55f69235652900d966ef4,240,yes,
environment.yml,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,3929a05bebabb7d4f8040f3eccc1b0baf1cfd970fff37abf92641055e50f7387,164,yes,
prompts/planning/P1_base_planning_prompt.txt,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,f0f0b242a43e6eeced5838dfda783b826359bf0bdff1653914acc7fda9b3497e,128,yes,
prompts/planning/P2_schema_guided_planning_prompt.txt,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,0f8ef048dc84ebcc9726c8a9b2174f1e27240de189428294a35543c97d4e2ade,169,yes,
prompts/planning/P3_skill_constrained_planning_prompt.txt,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,b44a48c6662d98b0fed2d7a17c897df1e1036c46839dd18f19e6e4d02bf6678d,140,yes,
prompts/prompt_audit/r3_prompt_audit_20260610/C0_qwen_guided_success__CommenSence__insert_flower_common_sense__example31/adapter_validation.json,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,ac697a029f1f54fc3e0cd0ef1dd7e6d3c8cbb3b60646e8a4fd8e8715df306371,419,yes,
prompts/prompt_audit/r3_prompt_audit_20260610/C0_qwen_guided_success__CommenSence__insert_flower_common_sense__example31/case_audit.json,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,c14325d4df8e701f603d167d25869ebaacde240ba6a0963bf23990182e586e39,935,yes,
prompts/prompt_audit/r3_prompt_audit_20260610/C0_qwen_guided_success__CommenSence__insert_flower_common_sense__example31/entity_registry.json,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,3db22d21d58a419c2088088cbfa920b581e8b2df4ae3c8cc7ad9ce9a5c8ad14e,2628,yes,
prompts/prompt_audit/r3_prompt_audit_20260610/C0_qwen_guided_success__CommenSence__insert_flower_common_sense__example31/executor_plan.json,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,14d498e3bebcae0d64c6f5cf5f25373fa97010484d366dbe2f2a9270331784d3,2599,yes,
prompts/prompt_audit/r3_prompt_audit_20260610/C0_qwen_guided_success__CommenSence__insert_flower_common_sense__example31/failure_final_mosaic.png,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,06ebd3095e375faa2375cead412fe2333dbea5e5e11b5ace2002b8f54df6a0b1,845866,yes,
prompts/prompt_audit/r3_prompt_audit_20260610/C0_qwen_guided_success__CommenSence__insert_flower_common_sense__example31/initial_failure_execution_result.json,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,b6925593ed71af9e94545e1e677fc07fc738d5209736e4bbc553562a6c75c0ed,5417,yes,
prompts/prompt_audit/r3_prompt_audit_20260610/C0_qwen_guided_success__CommenSence__insert_flower_common_sense__example31/initial_failure_orchestrator.log,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,7e21af5bf46a73a7ef581402ea33ed6b3c437a1f96526e7966b62087f7392f13,5896,yes,
prompts/prompt_audit/r3_prompt_audit_20260610/C0_qwen_guided_success__CommenSence__insert_flower_common_sense__example31/parsed_output.json,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,a1cd22461f5a314cf22bbb93170551f95cc5a7f913aa1033001a04d8000d9104,958,yes,
prompts/prompt_audit/r3_prompt_audit_20260610/C0_qwen_guided_success__CommenSence__insert_flower_common_sense__example31/prompt_R3.txt,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,c74d12aa8628fa4858f0d155e71b3cb9df30f3e71e0fe4af0595a3967e09f429,3383,yes,
prompts/prompt_audit/r3_prompt_audit_20260610/C0_qwen_guided_success__CommenSence__insert_flower_common_sense__example31/raw_output.json,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,d644d02b2da5432e341a5306e9b62c24d13d21507067659956bee7b623ebb1f5,1280,yes,
prompts/prompt_audit/r3_prompt_audit_20260610/C1_qwen_guided_condition_failure__CommenSence__insert_flower_common_sense__example9/adapter_validation.json,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,6d310c842935c17379bfe6ff1bf225a665139ebfc4ee62f291058a1e1abdb053,418,yes,
prompts/prompt_audit/r3_prompt_audit_20260610/C1_qwen_guided_condition_failure__CommenSence__insert_flower_common_sense__example9/case_audit.json,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,89b88c219f7c631f10fb975ae4c6d2d85004efc529a1b135fe8c0ccff1dff8a9,955,yes,
prompts/prompt_audit/r3_prompt_audit_20260610/C1_qwen_guided_condition_failure__CommenSence__insert_flower_common_sense__example9/entity_registry.json,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,88b7b704ee1f1d77a711e8a0f648df8eef34bc427c477b4208e66c1313036aca,2612,yes,
prompts/prompt_audit/r3_prompt_audit_20260610/C1_qwen_guided_condition_failure__CommenSence__insert_flower_common_sense__example9/executor_plan.json,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,b048bc9fb5606d99ee4c5d105daa4152b9c72a3ee7574e9d2cc3b70d84a8e5f5,2600,yes,
prompts/prompt_audit/r3_prompt_audit_20260610/C1_qwen_guided_condition_failure__CommenSence__insert_flower_common_sense__example9/failure_final_mosaic.png,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,be1dd1bd678ca4e09a016901c9ee1b3b9ee4d11ec13fb22712a7f021fea24fc6,818948,yes,
prompts/prompt_audit/r3_prompt_audit_20260610/C1_qwen_guided_condition_failure__CommenSence__insert_flower_common_sense__example9/initial_failure_execution_result.json,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,3689f8871e60239cc1a3484fa130ea6738f71656f5d2b49a3d437f3b72ef7d53,5404,yes,
prompts/prompt_audit/r3_prompt_audit_20260610/C1_qwen_guided_condition_failure__CommenSence__insert_flower_common_sense__example9/initial_failure_orchestrator.log,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,475669e2d12c0261c5f085c53d0e7a0f8ccc6e7e1ef43cb34a45153e8db9bf4b,5883,yes,
prompts/prompt_audit/r3_prompt_audit_20260610/C1_qwen_guided_condition_failure__CommenSence__insert_flower_common_sense__example9/parsed_output.json,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,d10e6e1c9bc7d956fb92390c5b42cafb855f10b75c28bd5312e62f887eade048,878,yes,
prompts/prompt_audit/r3_prompt_audit_20260610/C1_qwen_guided_condition_failure__CommenSence__insert_flower_common_sense__example9/prompt_R3.txt,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,6c4642268f8ec39caabf7a430bba52d8fdad8722eb9aa813a88648d5b27b42fe,3364,yes,
prompts/prompt_audit/r3_prompt_audit_20260610/C1_qwen_guided_condition_failure__CommenSence__insert_flower_common_sense__example9/raw_output.json,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,5cd03131423a8a86e63121b188499952340173733b593dffaf31676e9cc592f0,1239,yes,
prompts/prompt_audit/r3_prompt_audit_20260610/C2_qwen_conversion_failure__CommenSence__select_billiards_common_sense__example1/adapter_validation.json,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,9fadaea392f742c2c5737ef2703221c5a24631b2ecfd0f23f4dd2ef937eb8562,422,yes,
prompts/prompt_audit/r3_prompt_audit_20260610/C2_qwen_conversion_failure__CommenSence__select_billiards_common_sense__example1/case_audit.json,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,7d3d7e64e0f9aff88030df51e8532ef991fe189f7440d80cd9fad62fc2419451,893,yes,
prompts/prompt_audit/r3_prompt_audit_20260610/C2_qwen_conversion_failure__CommenSence__select_billiards_common_sense__example1/entity_registry.json,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,c377fd42d5e8bdaf94e5f0eb6338307783cbce05d44b150c24cff4dd1203b13d,2604,yes,
prompts/prompt_audit/r3_prompt_audit_20260610/C2_qwen_conversion_failure__CommenSence__select_billiards_common_sense__example1/executor_plan.json,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,fd79c769b7309131a416c63bd230c3ae5116a9a793875e3ad6398f7b8799afa3,446,yes,
prompts/prompt_audit/r3_prompt_audit_20260610/C2_qwen_conversion_failure__CommenSence__select_billiards_common_sense__example1/initial_failure_execution_result.json,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,651010ea31616551fb44adb5c058b417a9ecbe4f67462dd7855c1c85586f3e65,380,yes,
prompts/prompt_audit/r3_prompt_audit_20260610/C2_qwen_conversion_failure__CommenSence__select_billiards_common_sense__example1/parsed_output.json,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,84c7921a46712b3caf9f0f8c6f3e8f9f51a8fc0559c4041835ee0e5cfc011c99,392,yes,
prompts/prompt_audit/r3_prompt_audit_20260610/C2_qwen_conversion_failure__CommenSence__select_billiards_common_sense__example1/prompt_R3.txt,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,5cc20ab84d814c460675e9d97ad55f50de189dfcab74a9c0002217766ee2ca1b,1476,yes,
prompts/prompt_audit/r3_prompt_audit_20260610/C2_qwen_conversion_failure__CommenSence__select_billiards_common_sense__example1/raw_output.json,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,eb9ea17285d6bbd96ed08b7d88e012cf89d3a0f92369926adc83093b38c21a05,999,yes,
prompts/prompt_audit/r3_prompt_audit_20260610/C3_entity_mapping_failure__CommenSence__select_billiards_common_sense__example3/adapter_validation.json,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,be31bb465b5ae05702a30ae75e12679ffc47dcbad1ace2feed46ef881f8b00ca,460,yes,
prompts/prompt_audit/r3_prompt_audit_20260610/C3_entity_mapping_failure__CommenSence__select_billiards_common_sense__example3/case_audit.json,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,d36b2ee21c55ffbed0f68c7008a1a854e5cdbf4c8d5764642bef572cb8277364,955,yes,
prompts/prompt_audit/r3_prompt_audit_20260610/C3_entity_mapping_failure__CommenSence__select_billiards_common_sense__example3/entity_registry.json,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,cb3b5849d1af8effd5cce2d3a96f3823652ab5f7f6f9c6139399ee360a0da444,3116,yes,
prompts/prompt_audit/r3_prompt_audit_20260610/C3_entity_mapping_failure__CommenSence__select_billiards_common_sense__example3/executor_plan.json,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,16e23984d4cde5fa6d1005e1b3a9cf9ba68dba084792824f83317ab81e06f354,1494,yes,
prompts/prompt_audit/r3_prompt_audit_20260610/C3_entity_mapping_failure__CommenSence__select_billiards_common_sense__example3/failure_final_mosaic.png,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,1d360570e8cc3761269c37d4976e982a1f11fb3e21a6410a2055051dc39bb325,467899,yes,
prompts/prompt_audit/r3_prompt_audit_20260610/C3_entity_mapping_failure__CommenSence__select_billiards_common_sense__example3/initial_failure_execution_result.json,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,b2cf4e5fbb0b613109b7a5df79761cf9a6e8a4c53fab5a08fc0702f885b06f8d,4670,yes,
prompts/prompt_audit/r3_prompt_audit_20260610/C3_entity_mapping_failure__CommenSence__select_billiards_common_sense__example3/initial_failure_orchestrator.log,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,63626083a61f1ecb0caf53d5134cb1fb75edff4964b54c59affdd5c8d39ac355,4873,yes,
prompts/prompt_audit/r3_prompt_audit_20260610/C3_entity_mapping_failure__CommenSence__select_billiards_common_sense__example3/parsed_output.json,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,6d338ad6d25138ddc5e79a9de6a91c511eed43e801e6fa17f3deddbb6a69019d,746,yes,
prompts/prompt_audit/r3_prompt_audit_20260610/C3_entity_mapping_failure__CommenSence__select_billiards_common_sense__example3/prompt_R3.txt,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,3b09c3dd8626437048915e58480873189b5f9ea46496db118c32b2fff2485225,3131,yes,
prompts/prompt_audit/r3_prompt_audit_20260610/C3_entity_mapping_failure__CommenSence__select_billiards_common_sense__example3/raw_output.json,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,0c0d3eb9e546fab4725024e6c21757e5b78ef6a30bb48f7aaea8d94b7b0ef3eb,1173,yes,
prompts/prompt_audit/r3_prompt_audit_20260610/R3_PROMPT_AUDIT_NOTE.md,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,dd5cbace6aeead14fef08aa8f5d71d3f53d6aea3089e818c180b3ec9653b1816,3818,yes,
prompts/prompt_audit/r3_prompt_audit_20260610/R3_PROMPT_AUDIT_SUMMARY.json,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,ded49e82677b479ab4da5374436a2fa7d7f9ecf54a92c9d4f0ba2237eae8cfb4,6410,yes,
prompts/prompt_audit/r3_prompt_audit_20260610/SR_success_R3_fail_paired__CommenSence__insert_flower_common_sense__example81/adapter_validation.json,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,842a3eaa0c46fa95d32d2343c53b490e1c091ada661d658f0cd4b681f065ffb2,419,yes,
prompts/prompt_audit/r3_prompt_audit_20260610/SR_success_R3_fail_paired__CommenSence__insert_flower_common_sense__example81/case_audit.json,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,d4dae9aac901aa23309ad4796233ad5b8aec7b6e0e802709f24107a2abb5f00b,948,yes,
prompts/prompt_audit/r3_prompt_audit_20260610/SR_success_R3_fail_paired__CommenSence__insert_flower_common_sense__example81/entity_registry.json,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,fc107eb02e4f93d46a08b48554bc65da0157086c8af5219f974af610f2aa07e1,2596,yes,
prompts/prompt_audit/r3_prompt_audit_20260610/SR_success_R3_fail_paired__CommenSence__insert_flower_common_sense__example81/executor_plan.json,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,85160a133a8db479b50f8471098f5da3f1e514d75300c5b7fa6aef4351c830be,2604,yes,
prompts/prompt_audit/r3_prompt_audit_20260610/SR_success_R3_fail_paired__CommenSence__insert_flower_common_sense__example81/failure_final_mosaic.png,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,4ce2c20381f7898978d4db059b43c2ad324f19e5f5eb7ef44d7d536874121449,846500,yes,
prompts/prompt_audit/r3_prompt_audit_20260610/SR_success_R3_fail_paired__CommenSence__insert_flower_common_sense__example81/initial_failure_execution_result.json,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,a0db4f0be6f641d6e5150124f1ce0eab4f0a4072e057fef6773070bd76dad430,5440,yes,
prompts/prompt_audit/r3_prompt_audit_20260610/SR_success_R3_fail_paired__CommenSence__insert_flower_common_sense__example81/initial_failure_orchestrator.log,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,633f901f18f8074c22625037553284788555727ee3b01242d531a3e66b64dccf,5919,yes,
prompts/prompt_audit/r3_prompt_audit_20260610/SR_success_R3_fail_paired__CommenSence__insert_flower_common_sense__example81/parsed_output.json,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,da4b1fd0680e9a5bb0e2863f32d162e6913013e714b3f204cf9d6c1ddb6a55cd,894,yes,
prompts/prompt_audit/r3_prompt_audit_20260610/SR_success_R3_fail_paired__CommenSence__insert_flower_common_sense__example81/prompt_R3.txt,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,34a40193c33b324889e02fcd6f10246c5ea6099a3f3f8d6eb8c06c7d4d848e56,3330,yes,
prompts/prompt_audit/r3_prompt_audit_20260610/SR_success_R3_fail_paired__CommenSence__insert_flower_common_sense__example81/raw_output.json,SILVER reproducibility package artifact,main text or supplementary material,released artifact or recomputation script,paper-aligned released ledgers,cae30e8ccb8038771715cdd4538fd8515f174ce4acd6c57ee8f9400761237cd6,1247,yes,
