"sample_id","repeat","status","success","error","first_stage_error","path"
"M&T/add_condiment/example1","official_repeat_2","native_process_crash",,,"","C:\Users\choiLee\Dropbox\경남대학교\논문\논문계획\Isaac Sim 기반 디지털 트윈에서 멀티모달 LLM의 로봇 매니퓰레이션 장면 이해 및 작업 계획 재계획 성능 비교 연구\silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\M&T\add_condiment\example1\official_repeat_2\execution_result.json"
"M&T/insert_flower/example0","official_repeat_1","completed","False",,"","C:\Users\choiLee\Dropbox\경남대학교\논문\논문계획\Isaac Sim 기반 디지털 트윈에서 멀티모달 LLM의 로봇 매니퓰레이션 장면 이해 및 작업 계획 재계획 성능 비교 연구\silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\M&T\insert_flower\example0\official_repeat_1\execution_result.json"
"M&T/insert_flower/example0","official_repeat_2","completed","False",,"","C:\Users\choiLee\Dropbox\경남대학교\논문\논문계획\Isaac Sim 기반 디지털 트윈에서 멀티모달 LLM의 로봇 매니퓰레이션 장면 이해 및 작업 계획 재계획 성능 비교 연구\silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\M&T\insert_flower\example0\official_repeat_2\execution_result.json"
"M&T/insert_flower/example1","official_repeat_2","completed","False",,"","C:\Users\choiLee\Dropbox\경남대학교\논문\논문계획\Isaac Sim 기반 디지털 트윈에서 멀티모달 LLM의 로봇 매니퓰레이션 장면 이해 및 작업 계획 재계획 성능 비교 연구\silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\M&T\insert_flower\example1\official_repeat_2\execution_result.json"
"M&T/select_book/example1","official_repeat_1","native_process_crash",,,"","C:\Users\choiLee\Dropbox\경남대학교\논문\논문계획\Isaac Sim 기반 디지털 트윈에서 멀티모달 LLM의 로봇 매니퓰레이션 장면 이해 및 작업 계획 재계획 성능 비교 연구\silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\M&T\select_book\example1\official_repeat_1\execution_result.json"
"M&T/select_drink/example1","official_repeat_1","completed","False",,"","C:\Users\choiLee\Dropbox\경남대학교\논문\논문계획\Isaac Sim 기반 디지털 트윈에서 멀티모달 LLM의 로봇 매니퓰레이션 장면 이해 및 작업 계획 재계획 성능 비교 연구\silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\M&T\select_drink\example1\official_repeat_1\execution_result.json"
"M&T/select_drink/example1","official_repeat_2","completed","False",,"","C:\Users\choiLee\Dropbox\경남대학교\논문\논문계획\Isaac Sim 기반 디지털 트윈에서 멀티모달 LLM의 로봇 매니퓰레이션 장면 이해 및 작업 계획 재계획 성능 비교 연구\silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\M&T\select_drink\example1\official_repeat_2\execution_result.json"
"M&T/select_fruit/example1","official_repeat_2","native_process_crash",,,"","C:\Users\choiLee\Dropbox\경남대학교\논문\논문계획\Isaac Sim 기반 디지털 트윈에서 멀티모달 LLM의 로봇 매니퓰레이션 장면 이해 및 작업 계획 재계획 성능 비교 연구\silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\M&T\select_fruit\example1\official_repeat_2\execution_result.json"
"M&T/select_toy/example1","official_repeat_1","native_process_crash",,,"","C:\Users\choiLee\Dropbox\경남대학교\논문\논문계획\Isaac Sim 기반 디지털 트윈에서 멀티모달 LLM의 로봇 매니퓰레이션 장면 이해 및 작업 계획 재계획 성능 비교 연구\silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\M&T\select_toy\example1\official_repeat_1\execution_result.json"
"M&T/select_toy/example1","official_repeat_2","completed","False",,"","C:\Users\choiLee\Dropbox\경남대학교\논문\논문계획\Isaac Sim 기반 디지털 트윈에서 멀티모달 LLM의 로봇 매니퓰레이션 장면 이해 및 작업 계획 재계획 성능 비교 연구\silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\M&T\select_toy\example1\official_repeat_2\execution_result.json"
"PhysicsLaw/density_qa/example0","official_repeat_1","completed","False",,"","C:\Users\choiLee\Dropbox\경남대학교\논문\논문계획\Isaac Sim 기반 디지털 트윈에서 멀티모달 LLM의 로봇 매니퓰레이션 장면 이해 및 작업 계획 재계획 성능 비교 연구\silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\PhysicsLaw\density_qa\example0\official_repeat_1\execution_result.json"
"PhysicsLaw/density_qa/example1","official_repeat_1","completed","False",,"","C:\Users\choiLee\Dropbox\경남대학교\논문\논문계획\Isaac Sim 기반 디지털 트윈에서 멀티모달 LLM의 로봇 매니퓰레이션 장면 이해 및 작업 계획 재계획 성능 비교 연구\silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\PhysicsLaw\density_qa\example1\official_repeat_1\execution_result.json"
"PhysicsLaw/friction_qa/example0","official_repeat_1","completed","False",,"","C:\Users\choiLee\Dropbox\경남대학교\논문\논문계획\Isaac Sim 기반 디지털 트윈에서 멀티모달 LLM의 로봇 매니퓰레이션 장면 이해 및 작업 계획 재계획 성능 비교 연구\silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\PhysicsLaw\friction_qa\example0\official_repeat_1\execution_result.json"
"PhysicsLaw/friction_qa/example1","official_repeat_1","exception",,"TypeError(""'type' object is not subscriptable"")","","C:\Users\choiLee\Dropbox\경남대학교\논문\논문계획\Isaac Sim 기반 디지털 트윈에서 멀티모달 LLM의 로봇 매니퓰레이션 장면 이해 및 작업 계획 재계획 성능 비교 연구\silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\PhysicsLaw\friction_qa\example1\official_repeat_1\execution_result.json"
"PhysicsLaw/friction_qa/example1","official_repeat_2","completed","False",,"","C:\Users\choiLee\Dropbox\경남대학교\논문\논문계획\Isaac Sim 기반 디지털 트윈에서 멀티모달 LLM의 로봇 매니퓰레이션 장면 이해 및 작업 계획 재계획 성능 비교 연구\silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\PhysicsLaw\friction_qa\example1\official_repeat_2\execution_result.json"
"PhysicsLaw/magnetism_qa/example0","official_repeat_2","native_process_crash",,,"","C:\Users\choiLee\Dropbox\경남대학교\논문\논문계획\Isaac Sim 기반 디지털 트윈에서 멀티모달 LLM의 로봇 매니퓰레이션 장면 이해 및 작업 계획 재계획 성능 비교 연구\silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\PhysicsLaw\magnetism_qa\example0\official_repeat_2\execution_result.json"
"PhysicsLaw/magnetism_qa/example1","official_repeat_1","completed","False",,"","C:\Users\choiLee\Dropbox\경남대학교\논문\논문계획\Isaac Sim 기반 디지털 트윈에서 멀티모달 LLM의 로봇 매니퓰레이션 장면 이해 및 작업 계획 재계획 성능 비교 연구\silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\PhysicsLaw\magnetism_qa\example1\official_repeat_1\execution_result.json"
