run_position,sample_id,track_c_status,track_d_set,same_plan_status,same_plan_execution_status,same_plan_success,same_plan_progress_score,same_plan_elapsed_s,case_dir,updated_at
68,CommenSence/select_billiards_common_sense/example41,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,42.569554805755615,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example41,2026-05-27 14:44:55
71,CommenSence/select_billiards_common_sense/example44,C2_qwen_conversion_failure,secondary_diagnostic,C2_qwen_conversion_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example44,2026-05-27 14:44:55
72,CommenSence/select_billiards_common_sense/example45,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,34.94223093986511,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example45,2026-05-27 14:45:32
73,CommenSence/select_billiards_common_sense/example46,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,40.25161862373352,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example46,2026-05-27 14:46:14
74,CommenSence/select_billiards_common_sense/example47,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,39.56335926055908,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example47,2026-05-27 14:46:55
76,CommenSence/select_billiards_common_sense/example49,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,31.41126298904419,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example49,2026-05-27 14:47:28
77,CommenSence/select_billiards_common_sense/example50,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,39.26022505760193,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example50,2026-05-27 14:48:09
78,CommenSence/select_billiards_common_sense/example51,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,40.56432771682739,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example51,2026-05-27 14:48:51
80,CommenSence/select_billiards_common_sense/example53,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,31.514272451400757,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example53,2026-05-27 14:49:24
81,CommenSence/select_billiards_common_sense/example54,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,42.309786558151245,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example54,2026-05-27 14:50:08
82,CommenSence/select_billiards_common_sense/example55,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,31.46786069869995,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example55,2026-05-27 14:50:41
84,CommenSence/select_billiards_common_sense/example57,C2_qwen_conversion_failure,secondary_diagnostic,C2_qwen_conversion_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example57,2026-05-27 14:50:41
85,CommenSence/select_billiards_common_sense/example58,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,38.2583487033844,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example58,2026-05-27 14:51:20
86,CommenSence/select_billiards_common_sense/example59,C2_qwen_conversion_failure,secondary_diagnostic,C2_qwen_conversion_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example59,2026-05-27 14:51:20
87,CommenSence/select_billiards_common_sense/example60,C2_qwen_conversion_failure,secondary_diagnostic,C2_qwen_conversion_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example60,2026-05-27 14:51:20
88,CommenSence/select_billiards_common_sense/example61,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,38.75546073913574,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example61,2026-05-27 14:52:01
89,CommenSence/select_billiards_common_sense/example62,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,31.03004026412964,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example62,2026-05-27 14:52:33
92,CommenSence/select_billiards_common_sense/example65,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,34.498555183410645,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example65,2026-05-27 14:53:09
94,CommenSence/select_billiards_common_sense/example68,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,36.8227481842041,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example68,2026-05-27 14:53:48
95,CommenSence/select_billiards_common_sense/example69,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,24.442590713500977,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example69,2026-05-27 14:54:14
96,CommenSence/select_billiards_common_sense/example70,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,39.72143816947937,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example70,2026-05-27 14:54:55
97,CommenSence/select_billiards_common_sense/example71,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,36.77676796913147,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example71,2026-05-27 14:55:34
99,CommenSence/select_billiards_common_sense/example73,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,37.58752751350403,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example73,2026-05-27 14:56:13
100,CommenSence/select_billiards_common_sense/example74,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,36.36304545402527,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example74,2026-05-27 14:56:51
101,CommenSence/select_billiards_common_sense/example75,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,30.585637092590332,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example75,2026-05-27 14:57:23
102,CommenSence/select_billiards_common_sense/example76,C2_qwen_conversion_failure,secondary_diagnostic,C2_qwen_conversion_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example76,2026-05-27 14:57:23
103,CommenSence/select_billiards_common_sense/example77,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,34.276747941970825,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example77,2026-05-27 14:57:58
104,CommenSence/select_billiards_common_sense/example78,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,34.552382707595825,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example78,2026-05-27 14:58:35
105,CommenSence/select_billiards_common_sense/example79,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,33.956337451934814,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example79,2026-05-27 14:59:10
106,CommenSence/select_billiards_common_sense/example80,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,37.02443718910217,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example80,2026-05-27 14:59:49
107,CommenSence/select_billiards_common_sense/example81,C2_qwen_conversion_failure,secondary_diagnostic,C2_qwen_conversion_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example81,2026-05-27 14:59:49
108,CommenSence/select_billiards_common_sense/example83,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,37.50694227218628,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example83,2026-05-27 15:00:28
109,CommenSence/select_billiards_common_sense/example84,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,24.354195833206177,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example84,2026-05-27 15:00:54
111,CommenSence/select_billiards_common_sense/example86,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,24.322492837905884,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example86,2026-05-27 15:01:20
113,CommenSence/select_billiards_common_sense/example88,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,40.32605600357056,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example88,2026-05-27 15:02:02
114,CommenSence/select_billiards_common_sense/example89,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,42.69027400016785,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example89,2026-05-27 15:02:46
115,CommenSence/select_billiards_common_sense/example90,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,37.709595680236816,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example90,2026-05-27 15:03:25
116,CommenSence/select_billiards_common_sense/example91,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,42.28672432899475,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example91,2026-05-27 15:04:09
117,CommenSence/select_billiards_common_sense/example92,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,38.03817701339722,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example92,2026-05-27 15:04:49
118,CommenSence/select_billiards_common_sense/example93,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,37.47116279602051,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example93,2026-05-27 15:05:28
120,CommenSence/select_billiards_common_sense/example95,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,35.69486689567566,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example95,2026-05-27 15:06:05
121,CommenSence/select_billiards_common_sense/example96,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,20.18122887611389,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example96,2026-05-27 15:06:27
122,CommenSence/select_billiards_common_sense/example97,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,35.462634801864624,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example97,2026-05-27 15:07:04
124,CommenSence/select_billiards_common_sense/example99,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,33.4173321723938,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example99,2026-05-27 15:07:39
131,CommenSence/select_chemistry_tube_common_sense/example7,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,30.13201665878296,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_chemistry_tube_common_sense\example7,2026-05-27 15:08:10
137,CommenSence/select_chemistry_tube_common_sense/example15,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,28.42744016647339,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_chemistry_tube_common_sense\example15,2026-05-27 15:08:40
139,CommenSence/select_chemistry_tube_common_sense/example18,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,28.099815130233765,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_chemistry_tube_common_sense\example18,2026-05-27 15:09:10
148,CommenSence/select_chemistry_tube_common_sense/example32,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,30.697697162628174,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_chemistry_tube_common_sense\example32,2026-05-27 15:09:42
149,CommenSence/select_chemistry_tube_common_sense/example33,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,36.87614703178406,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_chemistry_tube_common_sense\example33,2026-05-27 15:10:20
154,CommenSence/select_chemistry_tube_common_sense/example38,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,27.14033794403076,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_chemistry_tube_common_sense\example38,2026-05-27 15:10:49
155,CommenSence/select_chemistry_tube_common_sense/example39,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,29.212111711502075,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_chemistry_tube_common_sense\example39,2026-05-27 15:11:20
161,CommenSence/select_chemistry_tube_common_sense/example46,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,27.496465921401978,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_chemistry_tube_common_sense\example46,2026-05-27 15:11:49
172,CommenSence/select_chemistry_tube_common_sense/example58,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C0_qwen_guided_success,completed,True,1.0,26.379531860351562,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_chemistry_tube_common_sense\example58,2026-05-27 15:12:17
193,CommenSence/select_chemistry_tube_common_sense/example82,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,29.80714249610901,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_chemistry_tube_common_sense\example82,2026-05-27 15:12:48
