run_position,sample_id,track_c_status,track_d_set,replan_R3_status,replan_R3_execution_status,replan_R3_success,replan_R3_progress_score,replan_R3_elapsed_s,case_dir,updated_at
34,CommenSence/select_billiards_common_sense/example6,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C3_entity_mapping_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example6,2026-05-28 17:10:11
35,CommenSence/select_billiards_common_sense/example7,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C0_qwen_guided_success,completed,True,1.0,39.46648550033569,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example7,2026-05-28 17:10:52
36,CommenSence/select_billiards_common_sense/example8,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C0_qwen_guided_success,completed,True,1.0,53.01346945762634,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example8,2026-05-28 17:11:47
37,CommenSence/select_billiards_common_sense/example9,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C3_entity_mapping_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example9,2026-05-28 17:11:47
39,CommenSence/select_billiards_common_sense/example11,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C3_entity_mapping_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example11,2026-05-28 17:11:47
40,CommenSence/select_billiards_common_sense/example12,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,24.10286593437195,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example12,2026-05-28 17:12:13
41,CommenSence/select_billiards_common_sense/example13,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C0_qwen_guided_success,completed,True,1.0,48.30088233947754,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example13,2026-05-28 17:13:03
42,CommenSence/select_billiards_common_sense/example14,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,28.204803466796875,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example14,2026-05-28 17:13:33
43,CommenSence/select_billiards_common_sense/example15,C2_qwen_conversion_failure,secondary_diagnostic,C2_qwen_conversion_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example15,2026-05-28 17:13:33
44,CommenSence/select_billiards_common_sense/example16,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,34.26382827758789,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example16,2026-05-28 17:14:10
46,CommenSence/select_billiards_common_sense/example18,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C0_qwen_guided_success,completed,True,1.0,47.69043183326721,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example18,2026-05-28 17:14:59
47,CommenSence/select_billiards_common_sense/example19,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C0_qwen_guided_success,completed,True,1.0,44.75561165809631,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example19,2026-05-28 17:15:46
49,CommenSence/select_billiards_common_sense/example21,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C3_entity_mapping_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example21,2026-05-28 17:15:46
51,CommenSence/select_billiards_common_sense/example23,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,43.691083669662476,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example23,2026-05-28 17:16:32
52,CommenSence/select_billiards_common_sense/example24,C2_qwen_conversion_failure,secondary_diagnostic,C2_qwen_conversion_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example24,2026-05-28 17:16:32
56,CommenSence/select_billiards_common_sense/example28,C2_qwen_conversion_failure,secondary_diagnostic,C2_qwen_conversion_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example28,2026-05-28 17:16:32
58,CommenSence/select_billiards_common_sense/example30,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C0_qwen_guided_success,completed,True,1.0,47.111289262771606,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example30,2026-05-28 17:17:21
60,CommenSence/select_billiards_common_sense/example32,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,37.72521734237671,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example32,2026-05-28 17:18:00
61,CommenSence/select_billiards_common_sense/example34,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C3_entity_mapping_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example34,2026-05-28 17:18:00
62,CommenSence/select_billiards_common_sense/example35,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C0_qwen_guided_success,completed,True,1.0,47.94583439826965,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example35,2026-05-28 17:18:50
64,CommenSence/select_billiards_common_sense/example37,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C0_qwen_guided_success,completed,True,1.0,41.21439838409424,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example37,2026-05-28 17:19:33
65,CommenSence/select_billiards_common_sense/example38,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C3_entity_mapping_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example38,2026-05-28 17:19:33
66,CommenSence/select_billiards_common_sense/example39,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C0_qwen_guided_success,completed,True,1.0,47.935585498809814,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example39,2026-05-28 17:20:24
67,CommenSence/select_billiards_common_sense/example40,C2_qwen_conversion_failure,secondary_diagnostic,C2_qwen_conversion_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example40,2026-05-28 17:20:24
68,CommenSence/select_billiards_common_sense/example41,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C3_entity_mapping_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example41,2026-05-28 17:20:24
71,CommenSence/select_billiards_common_sense/example44,C2_qwen_conversion_failure,secondary_diagnostic,C2_qwen_conversion_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example44,2026-05-28 17:20:24
72,CommenSence/select_billiards_common_sense/example45,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C0_qwen_guided_success,completed,True,1.0,43.88068675994873,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example45,2026-05-28 17:21:09
73,CommenSence/select_billiards_common_sense/example46,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C0_qwen_guided_success,completed,True,1.0,45.836379051208496,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example46,2026-05-28 17:21:57
74,CommenSence/select_billiards_common_sense/example47,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C3_entity_mapping_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example47,2026-05-28 17:21:57
76,CommenSence/select_billiards_common_sense/example49,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C3_entity_mapping_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example49,2026-05-28 17:21:57
77,CommenSence/select_billiards_common_sense/example50,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C0_qwen_guided_success,completed,True,1.0,40.94925308227539,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example50,2026-05-28 17:22:40
78,CommenSence/select_billiards_common_sense/example51,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C0_qwen_guided_success,completed,True,1.0,50.34861135482788,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example51,2026-05-28 17:23:33
80,CommenSence/select_billiards_common_sense/example53,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C3_entity_mapping_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example53,2026-05-28 17:23:33
81,CommenSence/select_billiards_common_sense/example54,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C0_qwen_guided_success,completed,True,1.0,39.921363830566406,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example54,2026-05-28 17:24:14
82,CommenSence/select_billiards_common_sense/example55,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C0_qwen_guided_success,completed,True,1.0,38.334848403930664,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example55,2026-05-28 17:24:55
84,CommenSence/select_billiards_common_sense/example57,C2_qwen_conversion_failure,secondary_diagnostic,C2_qwen_conversion_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example57,2026-05-28 17:24:55
85,CommenSence/select_billiards_common_sense/example58,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C0_qwen_guided_success,completed,True,1.0,47.14343810081482,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example58,2026-05-28 17:25:44
86,CommenSence/select_billiards_common_sense/example59,C2_qwen_conversion_failure,secondary_diagnostic,C2_qwen_conversion_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example59,2026-05-28 17:25:44
87,CommenSence/select_billiards_common_sense/example60,C2_qwen_conversion_failure,secondary_diagnostic,C2_qwen_conversion_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example60,2026-05-28 17:25:44
88,CommenSence/select_billiards_common_sense/example61,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C0_qwen_guided_success,completed,True,1.0,47.257673025131226,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example61,2026-05-28 17:26:33
89,CommenSence/select_billiards_common_sense/example62,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C0_qwen_guided_success,completed,True,1.0,44.54574275016785,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example62,2026-05-28 17:27:20
92,CommenSence/select_billiards_common_sense/example65,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C0_qwen_guided_success,completed,True,1.0,36.91157603263855,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example65,2026-05-28 17:27:59
94,CommenSence/select_billiards_common_sense/example68,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C0_qwen_guided_success,completed,True,1.0,40.57765746116638,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example68,2026-05-28 17:28:41
95,CommenSence/select_billiards_common_sense/example69,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,24.372400760650635,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example69,2026-05-28 17:29:08
96,CommenSence/select_billiards_common_sense/example70,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C0_qwen_guided_success,completed,True,1.0,38.82699131965637,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example70,2026-05-28 17:29:48
97,CommenSence/select_billiards_common_sense/example71,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C3_entity_mapping_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example71,2026-05-28 17:29:48
99,CommenSence/select_billiards_common_sense/example73,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C0_qwen_guided_success,completed,True,1.0,47.52316498756409,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example73,2026-05-28 17:30:38
100,CommenSence/select_billiards_common_sense/example74,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C0_qwen_guided_success,completed,True,1.0,36.32662558555603,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example74,2026-05-28 17:31:16
101,CommenSence/select_billiards_common_sense/example75,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C0_qwen_guided_success,completed,True,1.0,34.873051404953,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example75,2026-05-28 17:31:53
102,CommenSence/select_billiards_common_sense/example76,C2_qwen_conversion_failure,secondary_diagnostic,C2_qwen_conversion_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example76,2026-05-28 17:31:53
103,CommenSence/select_billiards_common_sense/example77,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,41.85504984855652,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example77,2026-05-28 17:32:37
104,CommenSence/select_billiards_common_sense/example78,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C0_qwen_guided_success,completed,True,1.0,48.45857310295105,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example78,2026-05-28 17:33:28
105,CommenSence/select_billiards_common_sense/example79,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C0_qwen_guided_success,completed,True,1.0,47.034820795059204,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example79,2026-05-28 17:34:17
106,CommenSence/select_billiards_common_sense/example80,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,43.43181037902832,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example80,2026-05-28 17:35:02
107,CommenSence/select_billiards_common_sense/example81,C2_qwen_conversion_failure,secondary_diagnostic,C2_qwen_conversion_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example81,2026-05-28 17:35:02
108,CommenSence/select_billiards_common_sense/example83,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C3_entity_mapping_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example83,2026-05-28 17:35:02
109,CommenSence/select_billiards_common_sense/example84,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C3_entity_mapping_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example84,2026-05-28 17:35:02
111,CommenSence/select_billiards_common_sense/example86,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,27.204997062683105,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example86,2026-05-28 17:35:31
113,CommenSence/select_billiards_common_sense/example88,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C0_qwen_guided_success,completed,True,1.0,49.21166253089905,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example88,2026-05-28 17:36:23
114,CommenSence/select_billiards_common_sense/example89,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C0_qwen_guided_success,completed,True,1.0,36.68223023414612,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example89,2026-05-28 17:37:01
115,CommenSence/select_billiards_common_sense/example90,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C0_qwen_guided_success,completed,True,1.0,43.932982206344604,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example90,2026-05-28 17:37:47
116,CommenSence/select_billiards_common_sense/example91,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C0_qwen_guided_success,completed,True,1.0,40.3879919052124,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example91,2026-05-28 17:38:29
117,CommenSence/select_billiards_common_sense/example92,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,40.75144600868225,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example92,2026-05-28 17:39:12
118,CommenSence/select_billiards_common_sense/example93,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C0_qwen_guided_success,completed,True,1.0,40.202749252319336,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example93,2026-05-28 17:39:54
120,CommenSence/select_billiards_common_sense/example95,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C0_qwen_guided_success,completed,True,1.0,36.847105979919434,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example95,2026-05-28 17:40:33
121,CommenSence/select_billiards_common_sense/example96,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,26.703970670700073,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example96,2026-05-28 17:41:01
122,CommenSence/select_billiards_common_sense/example97,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C3_entity_mapping_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example97,2026-05-28 17:41:01
124,CommenSence/select_billiards_common_sense/example99,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C3_entity_mapping_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_billiards_common_sense\example99,2026-05-28 17:41:01
131,CommenSence/select_chemistry_tube_common_sense/example7,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C3_entity_mapping_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_chemistry_tube_common_sense\example7,2026-05-28 17:41:01
137,CommenSence/select_chemistry_tube_common_sense/example15,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C0_qwen_guided_success,completed,True,1.0,31.19901204109192,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_chemistry_tube_common_sense\example15,2026-05-28 17:41:35
139,CommenSence/select_chemistry_tube_common_sense/example18,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,32.76779365539551,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_chemistry_tube_common_sense\example18,2026-05-28 17:42:09
148,CommenSence/select_chemistry_tube_common_sense/example32,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C0_qwen_guided_success,completed,True,1.0,30.991228103637695,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_chemistry_tube_common_sense\example32,2026-05-28 17:42:42
149,CommenSence/select_chemistry_tube_common_sense/example33,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,32.85153651237488,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_chemistry_tube_common_sense\example33,2026-05-28 17:43:17
154,CommenSence/select_chemistry_tube_common_sense/example38,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,32.6001079082489,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_chemistry_tube_common_sense\example38,2026-05-28 17:43:51
155,CommenSence/select_chemistry_tube_common_sense/example39,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C3_entity_mapping_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_chemistry_tube_common_sense\example39,2026-05-28 17:43:51
161,CommenSence/select_chemistry_tube_common_sense/example46,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,30.43776559829712,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_chemistry_tube_common_sense\example46,2026-05-28 17:44:24
172,CommenSence/select_chemistry_tube_common_sense/example58,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,32.67847800254822,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_chemistry_tube_common_sense\example58,2026-05-28 17:44:58
193,CommenSence/select_chemistry_tube_common_sense/example82,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C1_qwen_guided_condition_failure,completed,False,0.5,34.67642641067505,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_chemistry_tube_common_sense\example82,2026-05-28 17:45:35
201,CommenSence/select_chemistry_tube_common_sense/example91,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C3_entity_mapping_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_chemistry_tube_common_sense\example91,2026-05-28 17:45:35
208,CommenSence/select_chemistry_tube_common_sense/example99,C1_qwen_guided_condition_failure,primary_c1_condition_failure,C3_entity_mapping_failure,not_run_conversion_failed,,,,<EXPERIMENT_ARCHIVE>\silver_track_d_replanning_attribution_20260527\data\CommenSence\select_chemistry_tube_common_sense\example99,2026-05-28 17:45:35
