sample_id,category,task_name,example,gt_skill_pattern,execution_candidate_reason
CommenSence/add_condiment_common_sense/example67,CommenSence,add_condiment_common_sense,example67,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example68,CommenSence,add_condiment_common_sense,example68,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example69,CommenSence,add_condiment_common_sense,example69,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example70,CommenSence,add_condiment_common_sense,example70,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example71,CommenSence,add_condiment_common_sense,example71,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example72,CommenSence,add_condiment_common_sense,example72,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example73,CommenSence,add_condiment_common_sense,example73,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example74,CommenSence,add_condiment_common_sense,example74,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example75,CommenSence,add_condiment_common_sense,example75,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example76,CommenSence,add_condiment_common_sense,example76,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example77,CommenSence,add_condiment_common_sense,example77,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example78,CommenSence,add_condiment_common_sense,example78,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example79,CommenSence,add_condiment_common_sense,example79,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example80,CommenSence,add_condiment_common_sense,example80,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example81,CommenSence,add_condiment_common_sense,example81,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example82,CommenSence,add_condiment_common_sense,example82,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example83,CommenSence,add_condiment_common_sense,example83,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example84,CommenSence,add_condiment_common_sense,example84,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example85,CommenSence,add_condiment_common_sense,example85,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example86,CommenSence,add_condiment_common_sense,example86,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example87,CommenSence,add_condiment_common_sense,example87,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example88,CommenSence,add_condiment_common_sense,example88,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example89,CommenSence,add_condiment_common_sense,example89,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example90,CommenSence,add_condiment_common_sense,example90,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example91,CommenSence,add_condiment_common_sense,example91,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example92,CommenSence,add_condiment_common_sense,example92,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example93,CommenSence,add_condiment_common_sense,example93,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example94,CommenSence,add_condiment_common_sense,example94,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example95,CommenSence,add_condiment_common_sense,example95,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example96,CommenSence,add_condiment_common_sense,example96,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example97,CommenSence,add_condiment_common_sense,example97,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example98,CommenSence,add_condiment_common_sense,example98,pick>pour,S0_generic_compatible_preload_target
CommenSence/add_condiment_common_sense/example99,CommenSence,add_condiment_common_sense,example99,pick>pour,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example0,CommenSence,insert_flower_common_sense,example0,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example1,CommenSence,insert_flower_common_sense,example1,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example2,CommenSence,insert_flower_common_sense,example2,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example3,CommenSence,insert_flower_common_sense,example3,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example4,CommenSence,insert_flower_common_sense,example4,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example5,CommenSence,insert_flower_common_sense,example5,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example6,CommenSence,insert_flower_common_sense,example6,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example7,CommenSence,insert_flower_common_sense,example7,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example8,CommenSence,insert_flower_common_sense,example8,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example9,CommenSence,insert_flower_common_sense,example9,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example10,CommenSence,insert_flower_common_sense,example10,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example11,CommenSence,insert_flower_common_sense,example11,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example12,CommenSence,insert_flower_common_sense,example12,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example13,CommenSence,insert_flower_common_sense,example13,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example14,CommenSence,insert_flower_common_sense,example14,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example15,CommenSence,insert_flower_common_sense,example15,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example16,CommenSence,insert_flower_common_sense,example16,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example17,CommenSence,insert_flower_common_sense,example17,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example18,CommenSence,insert_flower_common_sense,example18,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example19,CommenSence,insert_flower_common_sense,example19,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example20,CommenSence,insert_flower_common_sense,example20,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example21,CommenSence,insert_flower_common_sense,example21,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example22,CommenSence,insert_flower_common_sense,example22,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example23,CommenSence,insert_flower_common_sense,example23,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example24,CommenSence,insert_flower_common_sense,example24,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example25,CommenSence,insert_flower_common_sense,example25,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example26,CommenSence,insert_flower_common_sense,example26,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example27,CommenSence,insert_flower_common_sense,example27,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example28,CommenSence,insert_flower_common_sense,example28,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example29,CommenSence,insert_flower_common_sense,example29,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example30,CommenSence,insert_flower_common_sense,example30,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example31,CommenSence,insert_flower_common_sense,example31,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example32,CommenSence,insert_flower_common_sense,example32,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example33,CommenSence,insert_flower_common_sense,example33,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example34,CommenSence,insert_flower_common_sense,example34,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example35,CommenSence,insert_flower_common_sense,example35,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example36,CommenSence,insert_flower_common_sense,example36,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example37,CommenSence,insert_flower_common_sense,example37,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example38,CommenSence,insert_flower_common_sense,example38,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example39,CommenSence,insert_flower_common_sense,example39,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example40,CommenSence,insert_flower_common_sense,example40,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example41,CommenSence,insert_flower_common_sense,example41,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example42,CommenSence,insert_flower_common_sense,example42,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example43,CommenSence,insert_flower_common_sense,example43,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example44,CommenSence,insert_flower_common_sense,example44,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example45,CommenSence,insert_flower_common_sense,example45,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example46,CommenSence,insert_flower_common_sense,example46,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example47,CommenSence,insert_flower_common_sense,example47,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example48,CommenSence,insert_flower_common_sense,example48,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example49,CommenSence,insert_flower_common_sense,example49,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example50,CommenSence,insert_flower_common_sense,example50,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example51,CommenSence,insert_flower_common_sense,example51,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example52,CommenSence,insert_flower_common_sense,example52,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example53,CommenSence,insert_flower_common_sense,example53,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example54,CommenSence,insert_flower_common_sense,example54,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example55,CommenSence,insert_flower_common_sense,example55,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example56,CommenSence,insert_flower_common_sense,example56,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example57,CommenSence,insert_flower_common_sense,example57,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example58,CommenSence,insert_flower_common_sense,example58,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example59,CommenSence,insert_flower_common_sense,example59,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example60,CommenSence,insert_flower_common_sense,example60,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example61,CommenSence,insert_flower_common_sense,example61,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example62,CommenSence,insert_flower_common_sense,example62,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example63,CommenSence,insert_flower_common_sense,example63,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example64,CommenSence,insert_flower_common_sense,example64,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example65,CommenSence,insert_flower_common_sense,example65,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example66,CommenSence,insert_flower_common_sense,example66,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example67,CommenSence,insert_flower_common_sense,example67,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example68,CommenSence,insert_flower_common_sense,example68,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example69,CommenSence,insert_flower_common_sense,example69,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example70,CommenSence,insert_flower_common_sense,example70,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example71,CommenSence,insert_flower_common_sense,example71,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example72,CommenSence,insert_flower_common_sense,example72,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example73,CommenSence,insert_flower_common_sense,example73,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example74,CommenSence,insert_flower_common_sense,example74,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example75,CommenSence,insert_flower_common_sense,example75,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example76,CommenSence,insert_flower_common_sense,example76,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example77,CommenSence,insert_flower_common_sense,example77,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example78,CommenSence,insert_flower_common_sense,example78,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example79,CommenSence,insert_flower_common_sense,example79,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example80,CommenSence,insert_flower_common_sense,example80,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example81,CommenSence,insert_flower_common_sense,example81,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example82,CommenSence,insert_flower_common_sense,example82,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example83,CommenSence,insert_flower_common_sense,example83,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example84,CommenSence,insert_flower_common_sense,example84,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example85,CommenSence,insert_flower_common_sense,example85,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example86,CommenSence,insert_flower_common_sense,example86,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example87,CommenSence,insert_flower_common_sense,example87,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example88,CommenSence,insert_flower_common_sense,example88,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example89,CommenSence,insert_flower_common_sense,example89,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example91,CommenSence,insert_flower_common_sense,example91,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example90,CommenSence,insert_flower_common_sense,example90,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example92,CommenSence,insert_flower_common_sense,example92,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example93,CommenSence,insert_flower_common_sense,example93,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example94,CommenSence,insert_flower_common_sense,example94,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example95,CommenSence,insert_flower_common_sense,example95,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example96,CommenSence,insert_flower_common_sense,example96,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example97,CommenSence,insert_flower_common_sense,example97,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example98,CommenSence,insert_flower_common_sense,example98,pick>insert,S0_generic_compatible_preload_target
CommenSence/insert_flower_common_sense/example99,CommenSence,insert_flower_common_sense,example99,pick>insert,S0_generic_compatible_preload_target
CommenSence/select_billiards_common_sense/example0,CommenSence,select_billiards_common_sense,example0,pick>place,S0_generic_compatible_preload_target
CommenSence/select_billiards_common_sense/example1,CommenSence,select_billiards_common_sense,example1,pick>place,S0_generic_compatible_preload_target
CommenSence/select_billiards_common_sense/example2,CommenSence,select_billiards_common_sense,example2,pick>place,S0_generic_compatible_preload_target
CommenSence/select_billiards_common_sense/example3,CommenSence,select_billiards_common_sense,example3,pick>place,S0_generic_compatible_preload_target
CommenSence/select_billiards_common_sense/example4,CommenSence,select_billiards_common_sense,example4,pick>place,S0_generic_compatible_preload_target
CommenSence/select_billiards_common_sense/example5,CommenSence,select_billiards_common_sense,example5,pick>place,S0_generic_compatible_preload_target
CommenSence/select_billiards_common_sense/example6,CommenSence,select_billiards_common_sense,example6,pick>place,S0_generic_compatible_preload_target
CommenSence/select_billiards_common_sense/example7,CommenSence,select_billiards_common_sense,example7,pick>place,S0_generic_compatible_preload_target
CommenSence/select_billiards_common_sense/example8,CommenSence,select_billiards_common_sense,example8,pick>place,S0_generic_compatible_preload_target
CommenSence/select_billiards_common_sense/example9,CommenSence,select_billiards_common_sense,example9,pick>place,S0_generic_compatible_preload_target
CommenSence/select_billiards_common_sense/example10,CommenSence,select_billiards_common_sense,example10,pick>place,S0_generic_compatible_preload_target
CommenSence/select_billiards_common_sense/example11,CommenSence,select_billiards_common_sense,example11,pick>place,S0_generic_compatible_preload_target
CommenSence/select_billiards_common_sense/example12,CommenSence,select_billiards_common_sense,example12,pick>place,S0_generic_compatible_preload_target
CommenSence/select_billiards_common_sense/example13,CommenSence,select_billiards_common_sense,example13,pick>place,S0_generic_compatible_preload_target
CommenSence/select_billiards_common_sense/example14,CommenSence,select_billiards_common_sense,example14,pick>place,S0_generic_compatible_preload_target
CommenSence/select_billiards_common_sense/example15,CommenSence,select_billiards_common_sense,example15,pick>place,S0_generic_compatible_preload_target
CommenSence/select_billiards_common_sense/example16,CommenSence,select_billiards_common_sense,example16,pick>place,S0_generic_compatible_preload_target
CommenSence/select_billiards_common_sense/example17,CommenSence,select_billiards_common_sense,example17,pick>place,S0_generic_compatible_preload_target
CommenSence/select_billiards_common_sense/example18,CommenSence,select_billiards_common_sense,example18,pick>place,S0_generic_compatible_preload_target
CommenSence/select_billiards_common_sense/example19,CommenSence,select_billiards_common_sense,example19,pick>place,S0_generic_compatible_preload_target
CommenSence/select_billiards_common_sense/example20,CommenSence,select_billiards_common_sense,example20,pick>place,S0_generic_compatible_preload_target
CommenSence/select_billiards_common_sense/example21,CommenSence,select_billiards_common_sense,example21,pick>place,S0_generic_compatible_preload_target
CommenSence/select_billiards_common_sense/example22,CommenSence,select_billiards_common_sense,example22,pick>place,S0_generic_compatible_preload_target
CommenSence/select_billiards_common_sense/example23,CommenSence,select_billiards_common_sense,example23,pick>place,S0_generic_compatible_preload_target
CommenSence/select_billiards_common_sense/example24,CommenSence,select_billiards_common_sense,example24,pick>place,S0_generic_compatible_preload_target
CommenSence/select_billiards_common_sense/example25,CommenSence,select_billiards_common_sense,example25,pick>place,S0_generic_compatible_preload_target
CommenSence/select_billiards_common_sense/example26,CommenSence,select_billiards_common_sense,example26,pick>place,S0_generic_compatible_preload_target
CommenSence/select_billiards_common_sense/example27,CommenSence,select_billiards_common_sense,example27,pick>place,S0_generic_compatible_preload_target
