sample_index,sample_id,category,task,example,gt_skill_pattern,official_status,official_eligible,repeat_1_status,repeat_1_success,repeat_2_status,repeat_2_success,case_dir,updated_at
39,CommenSence/add_condiment_common_sense/example38,CommenSence,add_condiment_common_sense,example38,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example38,2026-05-18 13:39:26
40,CommenSence/add_condiment_common_sense/example39,CommenSence,add_condiment_common_sense,example39,pick>pour,B5_nondeterministic_mismatch,False,completed,True,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example39,2026-05-18 13:21:34
41,CommenSence/add_condiment_common_sense/example40,CommenSence,add_condiment_common_sense,example40,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example40,2026-05-18 13:21:34
42,CommenSence/add_condiment_common_sense/example41,CommenSence,add_condiment_common_sense,example41,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example41,2026-05-23 18:47:31
43,CommenSence/add_condiment_common_sense/example42,CommenSence,add_condiment_common_sense,example42,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example42,2026-05-23 18:49:47
44,CommenSence/add_condiment_common_sense/example44,CommenSence,add_condiment_common_sense,example44,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example44,2026-05-18 13:21:34
45,CommenSence/add_condiment_common_sense/example43,CommenSence,add_condiment_common_sense,example43,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example43,2026-05-23 18:52:35
46,CommenSence/add_condiment_common_sense/example46,CommenSence,add_condiment_common_sense,example46,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example46,2026-05-18 13:21:34
47,CommenSence/add_condiment_common_sense/example45,CommenSence,add_condiment_common_sense,example45,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example45,2026-05-18 13:21:34
48,CommenSence/add_condiment_common_sense/example48,CommenSence,add_condiment_common_sense,example48,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example48,2026-05-18 13:21:34
49,CommenSence/add_condiment_common_sense/example47,CommenSence,add_condiment_common_sense,example47,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example47,2026-05-18 13:21:34
50,CommenSence/add_condiment_common_sense/example50,CommenSence,add_condiment_common_sense,example50,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example50,2026-05-23 18:55:29
51,CommenSence/add_condiment_common_sense/example49,CommenSence,add_condiment_common_sense,example49,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example49,2026-05-23 18:57:45
52,CommenSence/add_condiment_common_sense/example51,CommenSence,add_condiment_common_sense,example51,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example51,2026-05-18 13:21:34
53,CommenSence/add_condiment_common_sense/example52,CommenSence,add_condiment_common_sense,example52,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example52,2026-05-18 13:21:34
54,CommenSence/add_condiment_common_sense/example53,CommenSence,add_condiment_common_sense,example53,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example53,2026-05-18 13:21:34
55,CommenSence/add_condiment_common_sense/example54,CommenSence,add_condiment_common_sense,example54,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example54,2026-05-18 13:21:34
56,CommenSence/add_condiment_common_sense/example55,CommenSence,add_condiment_common_sense,example55,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example55,2026-05-18 13:21:34
57,CommenSence/add_condiment_common_sense/example56,CommenSence,add_condiment_common_sense,example56,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example56,2026-05-23 19:00:57
58,CommenSence/add_condiment_common_sense/example57,CommenSence,add_condiment_common_sense,example57,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example57,2026-05-18 13:21:34
59,CommenSence/add_condiment_common_sense/example58,CommenSence,add_condiment_common_sense,example58,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example58,2026-05-18 13:21:34
60,CommenSence/add_condiment_common_sense/example60,CommenSence,add_condiment_common_sense,example60,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example60,2026-05-18 13:21:34
61,CommenSence/add_condiment_common_sense/example59,CommenSence,add_condiment_common_sense,example59,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example59,2026-05-18 13:21:34
62,CommenSence/add_condiment_common_sense/example61,CommenSence,add_condiment_common_sense,example61,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example61,2026-05-23 19:03:27
63,CommenSence/add_condiment_common_sense/example62,CommenSence,add_condiment_common_sense,example62,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example62,2026-05-18 13:21:34
64,CommenSence/add_condiment_common_sense/example63,CommenSence,add_condiment_common_sense,example63,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example63,2026-05-18 13:21:34
65,CommenSence/add_condiment_common_sense/example64,CommenSence,add_condiment_common_sense,example64,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example64,2026-05-18 13:21:34
66,CommenSence/add_condiment_common_sense/example65,CommenSence,add_condiment_common_sense,example65,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example65,2026-05-23 19:06:15
67,CommenSence/add_condiment_common_sense/example66,CommenSence,add_condiment_common_sense,example66,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example66,2026-05-18 13:21:34
68,CommenSence/add_condiment_common_sense/example67,CommenSence,add_condiment_common_sense,example67,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example67,2026-05-18 13:21:34
69,CommenSence/add_condiment_common_sense/example68,CommenSence,add_condiment_common_sense,example68,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example68,2026-05-18 13:21:34
70,CommenSence/add_condiment_common_sense/example69,CommenSence,add_condiment_common_sense,example69,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example69,2026-05-23 19:08:33
71,CommenSence/add_condiment_common_sense/example70,CommenSence,add_condiment_common_sense,example70,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example70,2026-05-18 13:21:34
72,CommenSence/add_condiment_common_sense/example71,CommenSence,add_condiment_common_sense,example71,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example71,2026-05-18 13:21:34
73,CommenSence/add_condiment_common_sense/example72,CommenSence,add_condiment_common_sense,example72,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example72,2026-05-23 19:11:33
74,CommenSence/add_condiment_common_sense/example73,CommenSence,add_condiment_common_sense,example73,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example73,2026-05-23 19:14:07
75,CommenSence/add_condiment_common_sense/example74,CommenSence,add_condiment_common_sense,example74,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example74,2026-05-18 13:21:34
76,CommenSence/add_condiment_common_sense/example75,CommenSence,add_condiment_common_sense,example75,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example75,2026-05-18 13:21:34
77,CommenSence/add_condiment_common_sense/example76,CommenSence,add_condiment_common_sense,example76,pick>pour,B5_nondeterministic_mismatch,False,completed,False,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example76,2026-05-23 19:17:22
78,CommenSence/add_condiment_common_sense/example77,CommenSence,add_condiment_common_sense,example77,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example77,2026-05-18 13:21:34
79,CommenSence/add_condiment_common_sense/example78,CommenSence,add_condiment_common_sense,example78,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example78,2026-05-18 13:21:34
80,CommenSence/add_condiment_common_sense/example79,CommenSence,add_condiment_common_sense,example79,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example79,2026-05-18 13:21:34
81,CommenSence/add_condiment_common_sense/example80,CommenSence,add_condiment_common_sense,example80,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example80,2026-05-18 13:21:34
82,CommenSence/add_condiment_common_sense/example81,CommenSence,add_condiment_common_sense,example81,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example81,2026-05-23 19:19:54
83,CommenSence/add_condiment_common_sense/example82,CommenSence,add_condiment_common_sense,example82,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example82,2026-05-18 13:21:34
84,CommenSence/add_condiment_common_sense/example83,CommenSence,add_condiment_common_sense,example83,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example83,2026-05-18 13:21:34
85,CommenSence/add_condiment_common_sense/example84,CommenSence,add_condiment_common_sense,example84,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example84,2026-05-18 13:21:34
86,CommenSence/add_condiment_common_sense/example85,CommenSence,add_condiment_common_sense,example85,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example85,2026-05-18 13:21:34
87,CommenSence/add_condiment_common_sense/example86,CommenSence,add_condiment_common_sense,example86,pick>pour,B5_nondeterministic_mismatch,False,completed,False,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example86,2026-05-18 13:21:34
88,CommenSence/add_condiment_common_sense/example87,CommenSence,add_condiment_common_sense,example87,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example87,2026-05-23 19:22:31
89,CommenSence/add_condiment_common_sense/example88,CommenSence,add_condiment_common_sense,example88,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example88,2026-05-18 13:21:34
90,CommenSence/add_condiment_common_sense/example89,CommenSence,add_condiment_common_sense,example89,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example89,2026-05-18 13:21:34
