ablation_index,sample_id,track_c_status,variant,schema_valid,parse_error,conversion_ok,conversion_errors,skill_sequence,status,updated_at
23,CommenSence/select_fruit_common_sense/example30,C1_qwen_guided_condition_failure,R1,True,,True,,pick,completed,2026-05-30 19:29:44
24,CommenSence/select_fruit_common_sense/example32,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:29:45
25,CommenSence/select_fruit_common_sense/example93,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:29:47
26,CommenSence/select_nth_largest_poker/example16,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:29:48
27,CommenSence/select_nth_largest_poker/example22,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:29:49
28,CommenSence/select_nth_largest_poker/example24,C1_qwen_guided_condition_failure,R1,True,,False,step0:unmapped_component:7,pick>place,completed,2026-05-30 19:29:50
29,CommenSence/select_nth_largest_poker/example27,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:29:52
30,CommenSence/select_nth_largest_poker/example30,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:29:53
31,CommenSence/select_nth_largest_poker/example48,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:29:54
32,CommenSence/select_nth_largest_poker/example54,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:29:55
33,CommenSence/select_nth_largest_poker/example65,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:29:56
34,CommenSence/select_nth_largest_poker/example66,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:29:57
35,CommenSence/select_nth_largest_poker/example68,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:29:59
36,CommenSence/select_nth_largest_poker/example76,C1_qwen_guided_condition_failure,R1,True,,False,step0:unmapped_component:7,pick>place,completed,2026-05-30 19:30:00
37,CommenSence/select_nth_largest_poker/example83,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:30:01
38,CommenSence/select_nth_largest_poker/example85,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:30:02
39,CommenSence/select_nth_largest_poker/example92,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:30:03
40,CommenSence/select_nth_largest_poker/example95,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:30:05
41,CommenSence/select_nth_largest_poker/example96,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:30:06
42,CommenSence/select_toy_common_sense/example13,C1_qwen_guided_condition_failure,R1,True,,False,step0:unmapped_component:mermaid,pick>place,completed,2026-05-30 19:30:07
43,M&T/add_condiment/example54,C1_qwen_guided_condition_failure,R1,True,,True,,pour,completed,2026-05-30 19:30:08
44,M&T/insert_flower/example1,C1_qwen_guided_condition_failure,R1,True,,True,,insert,completed,2026-05-30 19:30:09
45,M&T/insert_flower/example14,C1_qwen_guided_condition_failure,R1,True,,True,,insert,completed,2026-05-30 19:30:10
46,M&T/insert_flower/example24,C1_qwen_guided_condition_failure,R1,True,,True,,insert,completed,2026-05-30 19:30:11
47,M&T/insert_flower/example50,C1_qwen_guided_condition_failure,R1,True,,True,,pick>insert,completed,2026-05-30 19:30:12
48,M&T/insert_flower/example51,C1_qwen_guided_condition_failure,R1,True,,True,,pick>insert,completed,2026-05-30 19:30:13
49,M&T/insert_flower/example93,C1_qwen_guided_condition_failure,R1,True,,True,,insert,completed,2026-05-30 19:30:14
50,M&T/select_billiards/example1,C1_qwen_guided_condition_failure,R1,True,,True,,insert,completed,2026-05-30 19:30:15
51,M&T/select_billiards/example15,C1_qwen_guided_condition_failure,R1,True,,False,step1:unmapped_component:hole,pick>insert,completed,2026-05-30 19:30:16
52,M&T/select_billiards/example17,C1_qwen_guided_condition_failure,R1,True,,False,step1:unmapped_component:hole,pick>insert,completed,2026-05-30 19:30:18
53,M&T/select_billiards/example18,C1_qwen_guided_condition_failure,R1,True,,False,step1:unmapped_component:hole,pick>insert,completed,2026-05-30 19:30:19
54,M&T/select_billiards/example2,C1_qwen_guided_condition_failure,R1,True,,False,step0:unmapped_component:hole,insert,completed,2026-05-30 19:30:20
55,M&T/select_billiards/example22,C1_qwen_guided_condition_failure,R1,True,,False,step1:unmapped_component:hole,pick>insert,completed,2026-05-30 19:30:21
56,M&T/select_billiards/example26,C1_qwen_guided_condition_failure,R1,True,,False,step1:unmapped_component:hole,pick>insert,completed,2026-05-30 19:30:22
57,M&T/select_billiards/example3,C1_qwen_guided_condition_failure,R1,True,,False,step1:unmapped_component:hole,pick>insert,completed,2026-05-30 19:30:23
58,M&T/select_billiards/example31,C1_qwen_guided_condition_failure,R1,True,,False,step1:unmapped_component:hole_1,pick>insert,completed,2026-05-30 19:30:24
59,M&T/select_billiards/example35,C1_qwen_guided_condition_failure,R1,True,,False,step1:unmapped_component:hole,pick>insert,completed,2026-05-30 19:30:25
60,M&T/select_billiards/example36,C1_qwen_guided_condition_failure,R1,True,,False,step1:unmapped_component:hole,pick>insert,completed,2026-05-30 19:30:26
61,M&T/select_billiards/example39,C1_qwen_guided_condition_failure,R1,True,,True,,insert,completed,2026-05-30 19:30:27
62,M&T/select_billiards/example44,C1_qwen_guided_condition_failure,R1,True,,False,step1:unmapped_component:hole,pick>insert,completed,2026-05-30 19:30:28
63,M&T/select_billiards/example48,C1_qwen_guided_condition_failure,R1,True,,False,step1:unmapped_component:hole_1,pick>insert,completed,2026-05-30 19:30:30
64,M&T/select_billiards/example57,C1_qwen_guided_condition_failure,R1,True,,False,step1:unmapped_component:hole,pick>insert,completed,2026-05-30 19:30:31
65,M&T/select_billiards/example59,C1_qwen_guided_condition_failure,R1,True,,True,,insert,completed,2026-05-30 19:30:32
66,M&T/select_billiards/example71,C1_qwen_guided_condition_failure,R1,True,,False,step1:unmapped_component:hole,pick>insert,completed,2026-05-30 19:30:33
67,M&T/select_billiards/example73,C1_qwen_guided_condition_failure,R1,True,,False,step1:unmapped_component:hole,pick>insert,completed,2026-05-30 19:30:34
68,M&T/select_billiards/example78,C1_qwen_guided_condition_failure,R1,True,,False,step1:unmapped_component:hole,pick>insert,completed,2026-05-30 19:30:35
69,M&T/select_billiards/example83,C1_qwen_guided_condition_failure,R1,True,,True,,pick>insert,completed,2026-05-30 19:30:36
70,M&T/select_billiards/example90,C1_qwen_guided_condition_failure,R1,True,,True,,insert,completed,2026-05-30 19:30:37
71,M&T/select_billiards/example91,C1_qwen_guided_condition_failure,R1,True,,False,step1:unmapped_component:hole,pick>insert,completed,2026-05-30 19:30:38
72,M&T/select_book/example45,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:30:39
73,M&T/select_book/example5,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:30:41
74,M&T/select_book/example79,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:30:42
75,M&T/select_book/example83,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:30:43
76,M&T/select_book/example90,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:30:44
77,M&T/select_book/example94,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:30:45
78,M&T/select_book/example96,C1_qwen_guided_condition_failure,R1,True,,False,step0:unmapped_component:fundamentals_of_molecular_biology,pick>place,completed,2026-05-30 19:30:47
79,M&T/select_chemistry_tube/example55,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:30:48
80,M&T/select_chemistry_tube/example69,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:30:49
81,M&T/select_chemistry_tube/example75,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:30:50
82,M&T/select_chemistry_tube/example79,C1_qwen_guided_condition_failure,R1,True,,False,step0:unmapped_component:6,pick>place,completed,2026-05-30 19:30:52
83,M&T/select_drink/example39,C1_qwen_guided_condition_failure,R1,True,,True,,pull,completed,2026-05-30 19:30:52
84,M&T/select_drink/example52,C1_qwen_guided_condition_failure,R1,True,,True,,pull>pick>place,completed,2026-05-30 19:30:54
85,M&T/select_drink/example8,C1_qwen_guided_condition_failure,R1,True,,True,,pull,completed,2026-05-30 19:30:55
86,M&T/select_fruit/example1,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:30:56
87,M&T/select_fruit/example2,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:30:57
88,M&T/select_fruit/example47,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:30:58
89,M&T/select_fruit/example50,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:30:59
90,M&T/select_fruit/example91,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:31:00
91,M&T/select_poker/example25,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:31:02
92,M&T/select_poker/example36,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:31:03
93,M&T/select_poker/example78,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:31:04
94,M&T/select_poker/example95,C1_qwen_guided_condition_failure,R1,True,,True,,pick,completed,2026-05-30 19:31:05
95,Semantic/insert_flower_semantic/example70,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:31:06
96,Semantic/select_book_semantic/example14,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:31:07
97,Semantic/select_book_semantic/example30,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:31:08
98,Semantic/select_book_semantic/example39,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:31:09
99,Semantic/select_book_semantic/example42,C1_qwen_guided_condition_failure,R1,False,,False,sequence_missing_or_empty,,completed,2026-05-30 19:31:10
100,Semantic/select_book_semantic/example53,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:31:11
101,Semantic/select_book_semantic/example62,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:31:12
102,Semantic/select_book_semantic/example67,C1_qwen_guided_condition_failure,R1,False,,False,sequence_missing_or_empty,,completed,2026-05-30 19:31:13
103,Semantic/select_book_semantic/example78,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:31:14
104,Semantic/select_book_semantic/example83,C1_qwen_guided_condition_failure,R1,True,,False,step1:unmapped_component:user_hand,pick>place,completed,2026-05-30 19:31:15
105,Semantic/select_book_semantic/example94,C1_qwen_guided_condition_failure,R1,False,,False,sequence_missing_or_empty,,completed,2026-05-30 19:31:16
106,Semantic/select_book_semantic/example96,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:31:17
107,Semantic/select_chemistry_tube_semantic/example5,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:31:18
108,Semantic/select_chemistry_tube_semantic/example78,C1_qwen_guided_condition_failure,R1,True,,True,,pick,completed,2026-05-30 19:31:19
109,Semantic/select_drink_semantic/example13,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:31:21
110,Semantic/select_drink_semantic/example42,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:31:22
111,Semantic/select_drink_semantic/example55,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:31:23
112,Semantic/select_drink_semantic/example64,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:31:24
113,Semantic/select_drink_semantic/example70,C1_qwen_guided_condition_failure,R1,False,,False,sequence_missing_or_empty,,completed,2026-05-30 19:31:25
114,Semantic/select_drink_semantic/example93,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:31:26
115,Semantic/select_drink_semantic/example95,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:31:28
116,Semantic/select_fruit_semantic/example37,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:31:29
117,Semantic/select_poker_semantic/example12,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:31:30
118,Semantic/select_poker_semantic/example16,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:31:31
119,Semantic/select_poker_semantic/example18,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:31:32
120,Semantic/select_poker_semantic/example36,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:31:33
121,Semantic/select_poker_semantic/example46,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:31:35
122,Semantic/select_poker_semantic/example47,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:31:36
123,Semantic/select_poker_semantic/example62,C1_qwen_guided_condition_failure,R1,True,,False,step1:unmapped_component:Sarah's hand,pick>place,completed,2026-05-30 19:31:37
124,Semantic/select_poker_semantic/example65,C1_qwen_guided_condition_failure,R1,False,,False,sequence_missing_or_empty,,completed,2026-05-30 19:31:38
125,Semantic/select_poker_semantic/example70,C1_qwen_guided_condition_failure,R1,True,,True,,pick,completed,2026-05-30 19:31:39
126,Semantic/select_poker_semantic/example72,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:31:40
127,Semantic/select_poker_semantic/example73,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:31:41
128,Semantic/select_poker_semantic/example82,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:31:42
129,Semantic/select_poker_semantic/example83,C1_qwen_guided_condition_failure,R1,False,,False,sequence_missing_or_empty,,completed,2026-05-30 19:31:43
130,Semantic/select_poker_semantic/example91,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:31:44
131,Semantic/select_poker_semantic/example92,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:31:45
132,Semantic/select_toy_semantic/example42,C1_qwen_guided_condition_failure,R1,False,,False,sequence_missing_or_empty,,completed,2026-05-30 19:31:46
133,Semantic/select_toy_semantic/example84,C1_qwen_guided_condition_failure,R1,False,,False,sequence_missing_or_empty,,completed,2026-05-30 19:31:47
134,Semantic/select_toy_semantic/example91,C1_qwen_guided_condition_failure,R1,False,,False,sequence_missing_or_empty,,completed,2026-05-30 19:31:47
135,Spatial/insert_bloom_flower/example29,C1_qwen_guided_condition_failure,R1,True,,True,,insert,completed,2026-05-30 19:31:48
136,Spatial/insert_bloom_flower/example39,C1_qwen_guided_condition_failure,R1,True,,True,,insert,completed,2026-05-30 19:31:49
137,Spatial/insert_bloom_flower/example40,C1_qwen_guided_condition_failure,R1,True,,True,,insert,completed,2026-05-30 19:31:50
138,Spatial/insert_bloom_flower/example60,C1_qwen_guided_condition_failure,R1,True,,True,,insert,completed,2026-05-30 19:31:51
139,Spatial/insert_bloom_flower/example68,C1_qwen_guided_condition_failure,R1,True,,True,,pick>insert,completed,2026-05-30 19:31:53
140,Spatial/select_billiards_spatial/example1,C1_qwen_guided_condition_failure,R1,True,,False,step1:unmapped_component:container_right_2,pick>place,completed,2026-05-30 19:31:54
141,Spatial/select_billiards_spatial/example28,C1_qwen_guided_condition_failure,R1,True,,False,step1:unmapped_component:container_right_2,pick>place,completed,2026-05-30 19:31:55
142,Spatial/select_billiards_spatial/example4,C1_qwen_guided_condition_failure,R1,True,,False,step1:unmapped_component:container_right_1,pick>place,completed,2026-05-30 19:31:56
143,Spatial/select_billiards_spatial/example44,C1_qwen_guided_condition_failure,R1,True,,False,step1:unmapped_component:container_right_1,pick>place,completed,2026-05-30 19:31:57
144,Spatial/select_billiards_spatial/example50,C1_qwen_guided_condition_failure,R1,True,,False,step1:unmapped_component:container_right_1,pick>place,completed,2026-05-30 19:31:58
145,Spatial/select_billiards_spatial/example85,C1_qwen_guided_condition_failure,R1,True,,False,step1:unmapped_component:container_right_1,pick>place,completed,2026-05-30 19:32:00
146,Spatial/select_billiards_spatial/example89,C1_qwen_guided_condition_failure,R1,True,,False,step1:unmapped_component:container_right_1,pick>place,completed,2026-05-30 19:32:01
147,Spatial/select_book_spatial/example0,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:32:02
148,Spatial/select_book_spatial/example13,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:32:03
149,Spatial/select_book_spatial/example24,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:32:04
150,Spatial/select_book_spatial/example30,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:32:06
151,Spatial/select_book_spatial/example33,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:32:07
152,Spatial/select_book_spatial/example34,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:32:08
153,Spatial/select_book_spatial/example47,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:32:09
154,Spatial/select_book_spatial/example59,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:32:11
155,Spatial/select_book_spatial/example61,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:32:12
156,Spatial/select_book_spatial/example72,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:32:13
157,Spatial/select_book_spatial/example8,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:32:14
158,Spatial/select_book_spatial/example81,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:32:15
159,Spatial/select_book_spatial/example85,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:32:17
160,Spatial/select_book_spatial/example89,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:32:18
161,Spatial/select_chemistry_tube_spatial/example14,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:32:19
162,Spatial/select_chemistry_tube_spatial/example16,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:32:20
163,Spatial/select_chemistry_tube_spatial/example20,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:32:22
164,Spatial/select_chemistry_tube_spatial/example24,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:32:23
165,Spatial/select_chemistry_tube_spatial/example26,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:32:24
166,Spatial/select_chemistry_tube_spatial/example29,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:32:25
167,Spatial/select_chemistry_tube_spatial/example31,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:32:27
168,Spatial/select_chemistry_tube_spatial/example33,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:32:28
169,Spatial/select_chemistry_tube_spatial/example35,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:32:29
170,Spatial/select_chemistry_tube_spatial/example38,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:32:30
171,Spatial/select_chemistry_tube_spatial/example45,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:32:32
172,Spatial/select_chemistry_tube_spatial/example52,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:32:33
173,Spatial/select_chemistry_tube_spatial/example53,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:32:34
174,Spatial/select_chemistry_tube_spatial/example55,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:32:36
175,Spatial/select_chemistry_tube_spatial/example60,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:32:37
176,Spatial/select_chemistry_tube_spatial/example63,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:32:38
177,Spatial/select_chemistry_tube_spatial/example64,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:32:39
178,Spatial/select_chemistry_tube_spatial/example68,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:32:41
179,Spatial/select_chemistry_tube_spatial/example70,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:32:42
180,Spatial/select_chemistry_tube_spatial/example79,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:32:43
181,Spatial/select_chemistry_tube_spatial/example80,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:32:45
182,Spatial/select_chemistry_tube_spatial/example82,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:32:46
183,Spatial/select_chemistry_tube_spatial/example94,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:32:47
184,Spatial/select_chemistry_tube_spatial/example97,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:32:49
185,Spatial/select_poker_spatial/example10,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:32:50
186,Spatial/select_poker_spatial/example18,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:32:51
187,Spatial/select_poker_spatial/example2,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:32:52
188,Spatial/select_poker_spatial/example33,C1_qwen_guided_condition_failure,R1,True,,True,,pick,completed,2026-05-30 19:32:53
189,Spatial/select_poker_spatial/example40,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:32:54
190,Spatial/select_poker_spatial/example49,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:32:55
191,Spatial/select_poker_spatial/example66,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:32:57
192,Spatial/select_poker_spatial/example79,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:32:58
193,Spatial/select_poker_spatial/example8,C1_qwen_guided_condition_failure,R1,True,,True,,pick,completed,2026-05-30 19:32:59
194,Spatial/select_poker_spatial/example89,C1_qwen_guided_condition_failure,R1,True,,True,,pick,completed,2026-05-30 19:33:00
195,Spatial/select_poker_spatial/example93,C1_qwen_guided_condition_failure,R1,True,,True,,pick,completed,2026-05-30 19:33:00
196,Spatial/select_poker_spatial/example97,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:33:02
197,Spatial/select_poker_spatial/example98,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:33:03
198,Spatial/select_toy_spatial/example13,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:33:04
199,Spatial/select_toy_spatial/example14,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:33:05
200,Spatial/select_toy_spatial/example23,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:33:07
201,Spatial/select_toy_spatial/example3,C1_qwen_guided_condition_failure,R1,True,,False,step1:unmapped_component:farthest_giftbox_on_right,pick>place,completed,2026-05-30 19:33:08
202,Spatial/select_toy_spatial/example33,C1_qwen_guided_condition_failure,R1,True,,False,step1:unmapped_component:farthest giftbox on the left,pick>place,completed,2026-05-30 19:33:09
203,Spatial/select_toy_spatial/example34,C1_qwen_guided_condition_failure,R1,True,,False,step1:unmapped_component:nearest_giftbox_on_left,pick>place,completed,2026-05-30 19:33:10
204,Spatial/select_toy_spatial/example35,C1_qwen_guided_condition_failure,R1,True,,True,,pick>place,completed,2026-05-30 19:33:11
