sample_id,category,task,condition,schema_valid,operation_sequence_exact_match,skill_name_accuracy,action_recall_rate,action_order_accuracy,object_argument_accuracy,target_argument_accuracy,step_level_f1,sequence_edit_distance,latency_s
CommenSence/add_condiment_common_sense/example11,CommenSence,add_condiment_common_sense,P3,1,0,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,6,2.418506383895874
CommenSence/add_condiment_common_sense/example12,CommenSence,add_condiment_common_sense,P1,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.7770171165466309
CommenSence/add_condiment_common_sense/example12,CommenSence,add_condiment_common_sense,P2,0,0,0.0,0.0,0.0,,,0.0,2,1.242908000946045
CommenSence/add_condiment_common_sense/example12,CommenSence,add_condiment_common_sense,P3,1,0,0.25,1.0,0.0,0.0,0.0,0.0,4,1.9154183864593506
CommenSence/add_condiment_common_sense/example13,CommenSence,add_condiment_common_sense,P1,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,2.015374183654785
CommenSence/add_condiment_common_sense/example13,CommenSence,add_condiment_common_sense,P2,1,0,0.5,0.5,0.0,1.0,0.0,0.5,1,1.5852057933807373
CommenSence/add_condiment_common_sense/example13,CommenSence,add_condiment_common_sense,P3,1,0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,3,1.9893486499786377
CommenSence/add_condiment_common_sense/example14,CommenSence,add_condiment_common_sense,P1,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.6753454208374023
CommenSence/add_condiment_common_sense/example14,CommenSence,add_condiment_common_sense,P2,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,2.105025291442871
CommenSence/add_condiment_common_sense/example14,CommenSence,add_condiment_common_sense,P3,1,0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,3,2.311128616333008
CommenSence/add_condiment_common_sense/example15,CommenSence,add_condiment_common_sense,P1,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.9890680313110352
CommenSence/add_condiment_common_sense/example15,CommenSence,add_condiment_common_sense,P2,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.8979880809783936
CommenSence/add_condiment_common_sense/example15,CommenSence,add_condiment_common_sense,P3,1,0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,3,2.2135348320007324
CommenSence/add_condiment_common_sense/example16,CommenSence,add_condiment_common_sense,P1,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,2.094647169113159
CommenSence/add_condiment_common_sense/example16,CommenSence,add_condiment_common_sense,P2,1,0,0.5,0.5,0.0,1.0,0.0,0.5,1,1.9494163990020752
CommenSence/add_condiment_common_sense/example16,CommenSence,add_condiment_common_sense,P3,1,0,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,6,2.909712553024292
CommenSence/add_condiment_common_sense/example17,CommenSence,add_condiment_common_sense,P1,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,2.13741135597229
CommenSence/add_condiment_common_sense/example17,CommenSence,add_condiment_common_sense,P2,1,0,0.5,0.5,0.0,1.0,0.0,0.5,1,1.788907527923584
CommenSence/add_condiment_common_sense/example17,CommenSence,add_condiment_common_sense,P3,1,0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,3,1.9973163604736328
CommenSence/add_condiment_common_sense/example18,CommenSence,add_condiment_common_sense,P1,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.8534646034240723
CommenSence/add_condiment_common_sense/example18,CommenSence,add_condiment_common_sense,P2,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.7186896800994873
CommenSence/add_condiment_common_sense/example18,CommenSence,add_condiment_common_sense,P3,1,0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,3,2.2052979469299316
CommenSence/add_condiment_common_sense/example19,CommenSence,add_condiment_common_sense,P1,0,0,0.0,0.0,0.0,,,0.0,2,1.8686528205871582
CommenSence/add_condiment_common_sense/example19,CommenSence,add_condiment_common_sense,P2,1,0,0.5,0.5,0.0,1.0,0.0,0.5,1,1.7532148361206055
CommenSence/add_condiment_common_sense/example19,CommenSence,add_condiment_common_sense,P3,1,0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,3,2.177943229675293
CommenSence/add_condiment_common_sense/example20,CommenSence,add_condiment_common_sense,P1,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,2.1057889461517334
CommenSence/add_condiment_common_sense/example20,CommenSence,add_condiment_common_sense,P2,0,0,0.0,0.0,0.0,,,0.0,2,1.7640831470489502
CommenSence/add_condiment_common_sense/example20,CommenSence,add_condiment_common_sense,P3,1,0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,3,2.18646502494812
CommenSence/add_condiment_common_sense/example21,CommenSence,add_condiment_common_sense,P1,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.861642599105835
CommenSence/add_condiment_common_sense/example21,CommenSence,add_condiment_common_sense,P2,1,0,0.5,0.5,0.0,1.0,0.0,0.5,1,2.1550190448760986
CommenSence/add_condiment_common_sense/example21,CommenSence,add_condiment_common_sense,P3,1,0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,3,2.397672414779663
CommenSence/add_condiment_common_sense/example22,CommenSence,add_condiment_common_sense,P1,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,2.149979591369629
CommenSence/add_condiment_common_sense/example22,CommenSence,add_condiment_common_sense,P2,1,0,0.5,0.5,0.0,1.0,0.0,0.5,1,2.0115039348602295
CommenSence/add_condiment_common_sense/example22,CommenSence,add_condiment_common_sense,P3,1,0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,3,2.515270709991455
CommenSence/add_condiment_common_sense/example23,CommenSence,add_condiment_common_sense,P1,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,2.3050308227539062
CommenSence/add_condiment_common_sense/example23,CommenSence,add_condiment_common_sense,P2,1,0,0.5,0.5,0.0,1.0,0.0,0.5,1,2.097892999649048
CommenSence/add_condiment_common_sense/example23,CommenSence,add_condiment_common_sense,P3,1,0,0.25,0.5,0.0,0.0,0.0,0.0,4,2.5813145637512207
CommenSence/add_condiment_common_sense/example24,CommenSence,add_condiment_common_sense,P1,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.818157434463501
CommenSence/add_condiment_common_sense/example24,CommenSence,add_condiment_common_sense,P2,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.5602269172668457
CommenSence/add_condiment_common_sense/example24,CommenSence,add_condiment_common_sense,P3,1,0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,3,1.7905216217041016
CommenSence/add_condiment_common_sense/example25,CommenSence,add_condiment_common_sense,P1,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.5335865020751953
CommenSence/add_condiment_common_sense/example25,CommenSence,add_condiment_common_sense,P2,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.6023824214935303
CommenSence/add_condiment_common_sense/example25,CommenSence,add_condiment_common_sense,P3,1,0,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,6,2.6219398975372314
CommenSence/add_condiment_common_sense/example26,CommenSence,add_condiment_common_sense,P1,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.9719502925872803
CommenSence/add_condiment_common_sense/example26,CommenSence,add_condiment_common_sense,P2,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.648219108581543
CommenSence/add_condiment_common_sense/example26,CommenSence,add_condiment_common_sense,P3,1,0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,3,2.2006118297576904
CommenSence/add_condiment_common_sense/example27,CommenSence,add_condiment_common_sense,P1,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.6628468036651611
CommenSence/add_condiment_common_sense/example27,CommenSence,add_condiment_common_sense,P2,1,0,0.5,0.5,0.0,1.0,0.0,0.5,1,2.739501953125
CommenSence/add_condiment_common_sense/example27,CommenSence,add_condiment_common_sense,P3,1,0,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,6,2.7733936309814453
CommenSence/add_condiment_common_sense/example28,CommenSence,add_condiment_common_sense,P1,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,2.9726033210754395
CommenSence/add_condiment_common_sense/example28,CommenSence,add_condiment_common_sense,P2,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.8851802349090576
CommenSence/add_condiment_common_sense/example28,CommenSence,add_condiment_common_sense,P3,1,0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,3,2.1633551120758057
CommenSence/add_condiment_common_sense/example29,CommenSence,add_condiment_common_sense,P1,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,2.0364840030670166
CommenSence/add_condiment_common_sense/example29,CommenSence,add_condiment_common_sense,P2,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.6918208599090576
CommenSence/add_condiment_common_sense/example29,CommenSence,add_condiment_common_sense,P3,1,0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,3,2.3188674449920654
CommenSence/add_condiment_common_sense/example30,CommenSence,add_condiment_common_sense,P1,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.9884498119354248
CommenSence/add_condiment_common_sense/example30,CommenSence,add_condiment_common_sense,P2,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.7785115242004395
CommenSence/add_condiment_common_sense/example30,CommenSence,add_condiment_common_sense,P3,1,0,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,3,2.213418960571289
CommenSence/add_condiment_common_sense/example31,CommenSence,add_condiment_common_sense,P1,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.9903192520141602
CommenSence/add_condiment_common_sense/example31,CommenSence,add_condiment_common_sense,P2,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.701357126235962
CommenSence/add_condiment_common_sense/example31,CommenSence,add_condiment_common_sense,P3,1,0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,3,2.176328182220459
CommenSence/add_condiment_common_sense/example32,CommenSence,add_condiment_common_sense,P1,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.9109878540039062
CommenSence/add_condiment_common_sense/example32,CommenSence,add_condiment_common_sense,P2,1,0,0.5,0.5,0.0,1.0,0.0,0.5,1,2.4124529361724854
CommenSence/add_condiment_common_sense/example32,CommenSence,add_condiment_common_sense,P3,1,0,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,6,3.3747923374176025
CommenSence/add_condiment_common_sense/example33,CommenSence,add_condiment_common_sense,P1,0,0,0.0,0.0,0.0,,,0.0,2,2.4057276248931885
CommenSence/add_condiment_common_sense/example33,CommenSence,add_condiment_common_sense,P2,0,0,0.0,0.0,0.0,,,0.0,2,1.8427619934082031
CommenSence/add_condiment_common_sense/example33,CommenSence,add_condiment_common_sense,P3,1,0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,3,2.4520788192749023
CommenSence/add_condiment_common_sense/example34,CommenSence,add_condiment_common_sense,P1,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,2.0042595863342285
CommenSence/add_condiment_common_sense/example34,CommenSence,add_condiment_common_sense,P2,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.8392951488494873
CommenSence/add_condiment_common_sense/example34,CommenSence,add_condiment_common_sense,P3,1,0,0.25,1.0,0.0,0.0,0.0,0.0,4,2.3936867713928223
CommenSence/add_condiment_common_sense/example35,CommenSence,add_condiment_common_sense,P1,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.8458499908447266
CommenSence/add_condiment_common_sense/example35,CommenSence,add_condiment_common_sense,P2,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.503817081451416
CommenSence/add_condiment_common_sense/example35,CommenSence,add_condiment_common_sense,P3,1,0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,3,1.857236623764038
CommenSence/add_condiment_common_sense/example36,CommenSence,add_condiment_common_sense,P1,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.6883668899536133
CommenSence/add_condiment_common_sense/example36,CommenSence,add_condiment_common_sense,P2,1,0,0.5,0.5,0.0,1.0,0.0,0.5,1,1.8899662494659424
CommenSence/add_condiment_common_sense/example36,CommenSence,add_condiment_common_sense,P3,1,0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,3,3.3308935165405273
CommenSence/add_condiment_common_sense/example37,CommenSence,add_condiment_common_sense,P1,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.8553392887115479
CommenSence/add_condiment_common_sense/example37,CommenSence,add_condiment_common_sense,P2,1,0,0.5,0.5,0.0,1.0,0.0,0.5,1,1.7031376361846924
CommenSence/add_condiment_common_sense/example37,CommenSence,add_condiment_common_sense,P3,1,0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,3,2.012615919113159
CommenSence/add_condiment_common_sense/example38,CommenSence,add_condiment_common_sense,P1,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.8060996532440186
CommenSence/add_condiment_common_sense/example38,CommenSence,add_condiment_common_sense,P2,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.6104693412780762
CommenSence/add_condiment_common_sense/example38,CommenSence,add_condiment_common_sense,P3,1,0,0.25,1.0,0.0,0.0,0.0,0.0,4,2.195305347442627
CommenSence/add_condiment_common_sense/example39,CommenSence,add_condiment_common_sense,P1,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.6932077407836914
CommenSence/add_condiment_common_sense/example39,CommenSence,add_condiment_common_sense,P2,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.551001787185669
CommenSence/add_condiment_common_sense/example39,CommenSence,add_condiment_common_sense,P3,1,0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,3,1.938152551651001
CommenSence/add_condiment_common_sense/example40,CommenSence,add_condiment_common_sense,P1,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.7383606433868408
CommenSence/add_condiment_common_sense/example40,CommenSence,add_condiment_common_sense,P2,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.5569186210632324
CommenSence/add_condiment_common_sense/example40,CommenSence,add_condiment_common_sense,P3,1,0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,3,1.850656509399414
CommenSence/add_condiment_common_sense/example41,CommenSence,add_condiment_common_sense,P1,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.7314066886901855
CommenSence/add_condiment_common_sense/example41,CommenSence,add_condiment_common_sense,P2,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.7363579273223877
CommenSence/add_condiment_common_sense/example41,CommenSence,add_condiment_common_sense,P3,1,0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,3,1.8539705276489258
CommenSence/add_condiment_common_sense/example42,CommenSence,add_condiment_common_sense,P1,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.5189974308013916
CommenSence/add_condiment_common_sense/example42,CommenSence,add_condiment_common_sense,P2,1,0,0.5,0.5,0.0,1.0,0.0,0.5,1,1.3244521617889404
CommenSence/add_condiment_common_sense/example42,CommenSence,add_condiment_common_sense,P3,1,0,0.25,1.0,0.0,0.0,0.0,0.0,4,1.988771915435791
CommenSence/add_condiment_common_sense/example44,CommenSence,add_condiment_common_sense,P1,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.5170681476593018
CommenSence/add_condiment_common_sense/example44,CommenSence,add_condiment_common_sense,P2,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.3947217464447021
CommenSence/add_condiment_common_sense/example44,CommenSence,add_condiment_common_sense,P3,1,0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,3,1.7214312553405762
CommenSence/add_condiment_common_sense/example43,CommenSence,add_condiment_common_sense,P1,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.5274250507354736
CommenSence/add_condiment_common_sense/example43,CommenSence,add_condiment_common_sense,P2,1,0,0.5,0.5,0.0,1.0,0.0,0.5,1,1.5483286380767822
CommenSence/add_condiment_common_sense/example43,CommenSence,add_condiment_common_sense,P3,1,0,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,3,1.8794872760772705
CommenSence/add_condiment_common_sense/example46,CommenSence,add_condiment_common_sense,P1,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.6965572834014893
CommenSence/add_condiment_common_sense/example46,CommenSence,add_condiment_common_sense,P2,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.6802773475646973
CommenSence/add_condiment_common_sense/example46,CommenSence,add_condiment_common_sense,P3,1,0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,3,2.9874260425567627
CommenSence/add_condiment_common_sense/example45,CommenSence,add_condiment_common_sense,P1,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,2.7248032093048096
CommenSence/add_condiment_common_sense/example45,CommenSence,add_condiment_common_sense,P2,0,0,0.0,0.0,0.0,,,0.0,2,2.034811496734619
CommenSence/add_condiment_common_sense/example45,CommenSence,add_condiment_common_sense,P3,1,0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,3,2.823230266571045
CommenSence/add_condiment_common_sense/example48,CommenSence,add_condiment_common_sense,P1,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,2.3685848712921143
CommenSence/add_condiment_common_sense/example48,CommenSence,add_condiment_common_sense,P2,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,2.0092933177948
CommenSence/add_condiment_common_sense/example48,CommenSence,add_condiment_common_sense,P3,1,0,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,3,2.3154499530792236
CommenSence/add_condiment_common_sense/example47,CommenSence,add_condiment_common_sense,P1,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.841860294342041
CommenSence/add_condiment_common_sense/example47,CommenSence,add_condiment_common_sense,P2,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.7876651287078857
CommenSence/add_condiment_common_sense/example47,CommenSence,add_condiment_common_sense,P3,1,0,0.25,0.5,0.0,0.0,0.0,0.0,4,2.1730573177337646
CommenSence/add_condiment_common_sense/example50,CommenSence,add_condiment_common_sense,P1,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.6647930145263672
CommenSence/add_condiment_common_sense/example50,CommenSence,add_condiment_common_sense,P2,0,0,0.0,0.0,0.0,,,0.0,2,1.32533597946167
CommenSence/add_condiment_common_sense/example50,CommenSence,add_condiment_common_sense,P3,1,0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,3,1.781371831893921
CommenSence/add_condiment_common_sense/example49,CommenSence,add_condiment_common_sense,P1,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,2.9912309646606445
CommenSence/add_condiment_common_sense/example49,CommenSence,add_condiment_common_sense,P2,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.458146572113037
CommenSence/add_condiment_common_sense/example49,CommenSence,add_condiment_common_sense,P3,1,0,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,3,1.8475604057312012
CommenSence/add_condiment_common_sense/example51,CommenSence,add_condiment_common_sense,P1,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.5095446109771729
CommenSence/add_condiment_common_sense/example51,CommenSence,add_condiment_common_sense,P2,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.5159528255462646
CommenSence/add_condiment_common_sense/example51,CommenSence,add_condiment_common_sense,P3,1,0,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,6,2.3693013191223145
CommenSence/add_condiment_common_sense/example52,CommenSence,add_condiment_common_sense,P1,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.66166353225708
CommenSence/add_condiment_common_sense/example52,CommenSence,add_condiment_common_sense,P2,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.599212408065796
CommenSence/add_condiment_common_sense/example52,CommenSence,add_condiment_common_sense,P3,1,0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,3,1.7406353950500488
CommenSence/add_condiment_common_sense/example53,CommenSence,add_condiment_common_sense,P1,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.5233080387115479
CommenSence/add_condiment_common_sense/example53,CommenSence,add_condiment_common_sense,P2,1,0,0.5,0.5,0.0,1.0,0.0,0.5,1,1.5541574954986572
CommenSence/add_condiment_common_sense/example53,CommenSence,add_condiment_common_sense,P3,1,0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,3,1.8784492015838623
CommenSence/add_condiment_common_sense/example54,CommenSence,add_condiment_common_sense,P1,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.6771879196166992
CommenSence/add_condiment_common_sense/example54,CommenSence,add_condiment_common_sense,P2,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.563887119293213
CommenSence/add_condiment_common_sense/example54,CommenSence,add_condiment_common_sense,P3,1,0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,3,2.8879969120025635
CommenSence/add_condiment_common_sense/example55,CommenSence,add_condiment_common_sense,P1,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.6583619117736816
CommenSence/add_condiment_common_sense/example55,CommenSence,add_condiment_common_sense,P2,1,0,0.5,0.5,0.0,0.0,1.0,0.0,2,1.5684294700622559
CommenSence/add_condiment_common_sense/example55,CommenSence,add_condiment_common_sense,P3,1,0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,3,2.069002628326416
CommenSence/add_condiment_common_sense/example56,CommenSence,add_condiment_common_sense,P1,0,0,0.0,0.0,0.0,,,0.0,2,1.6189601421356201
CommenSence/add_condiment_common_sense/example56,CommenSence,add_condiment_common_sense,P2,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,1.6518967151641846
CommenSence/add_condiment_common_sense/example56,CommenSence,add_condiment_common_sense,P3,1,0,0.25,1.0,0.0,0.0,0.0,0.0,4,2.3355014324188232
CommenSence/add_condiment_common_sense/example57,CommenSence,add_condiment_common_sense,P1,1,0,0.5,0.5,0.0,0.0,0.0,0.0,2,2.2049927711486816
CommenSence/add_condiment_common_sense/example57,CommenSence,add_condiment_common_sense,P2,1,0,0.5,0.5,0.0,1.0,0.0,0.5,1,2.149855136871338
